scaffold_number	intron_start	intron_end	orf_rep1_reads(u)	normalize value(Rep1)	orf_rep2_reads(u)	Normalize value(Rep2)
DS571145	9962	10052	37	53.77906977	21	36.99788584
DS571145	13994	14048	5	7.26744186	5	8.809020437
DS571145	23459	23515	28	40.69767442	28	49.33051445
DS571145	34069	34112	44	63.95348837	20	35.23608175
DS571145	34583	34633	27	39.24418605	49	86.32840028
DS571145	49242	49288	18	26.1627907	11	19.37984496
DS571145	68835	68886	89	129.3604651	24	42.2832981
DS571145	73101	73163	44	63.95348837	72	126.8498943
DS571145	76637	76684	9	13.08139535	14	24.66525722
DS571145	87005	87055	36	52.3255814	41	72.23396758
DS571145	96497	96550	7	10.1744186	6	10.57082452
DS571145	98902	98952	51	74.12790698	63	110.9936575
DS571145	107720	107770	520	755.8139535	648	1141.649049
DS571145	119994	120041	34	49.41860465	72	126.8498943
DS571145	123248	123303	68	98.8372093	89	156.8005638
DS571145	128135	128186	27	39.24418605	9	15.85623679
DS571145	128410	128457	26	37.79069767	6	10.57082452
DS571145	136903	137340	12	17.44186047	8	14.0944327
DS571145	154993	155043	12	17.44186047	16	28.1888654
DS571145	212469	212519	11	15.98837209	15	26.42706131
DS571145	220421	220471	26	37.79069767	50	88.09020437
DS571145	224178	224225	22	31.97674419	24	42.2832981
DS571145	227484	227544	19	27.61627907	25	44.04510218
DS571145	231517	231622	12	17.44186047	18	31.71247357
DS571145	251201	251251	7	10.1744186	5	8.809020437
DS571145	251635	251695	41	59.59302326	9	15.85623679
DS571145	252297	252364	53	77.03488372	45	79.28118393
DS571145	265439	265491	45	65.40697674	29	51.09231853
DS571145	279258	279395	558	811.0465116	418	736.4341085
DS571145	284674	284735	82	119.1860465	58	102.1846371
DS571145	293698	293748	5	7.26744186	9	15.85623679
DS571145	298372	298419	8	11.62790698	5	8.809020437
DS571145	299313	299367	59	85.75581395	46	81.04298802
DS571145	312213	312271	10	14.53488372	4	7.04721635
DS571145	313305	313358	200	290.6976744	97	170.8949965
DS571145	313907	313954	100	145.3488372	160	281.888654
DS571145	316968	317019	65	94.47674419	52	91.61381254
DS571145	321329	321404	113	164.244186	94	165.6095842
DS571145	323896	323948	55	79.94186047	45	79.28118393
DS571145	324658	324701	54	78.48837209	4	7.04721635
DS571145	328049	328099	220	319.7674419	205	361.1698379
DS571145	328422	328475	29	42.15116279	20	35.23608175
DS571145	328788	328842	30	43.60465116	25	44.04510218
DS571145	332476	332578	7	10.1744186	7	12.33262861
DS571145	335521	335574	11	15.98837209	4	7.04721635
DS571145	342520	342610	6	8.720930233	4	7.04721635
DS571145	342700	342761	9	13.08139535	5	8.809020437
DS571145	346729	346791	6	8.720930233	4	7.04721635
DS571145	348095	348156	49	71.22093023	82	144.4679352
DS571145	348286	348345	58	84.30232558	43	75.75757576
DS571145	359932	359978	58	84.30232558	72	126.8498943
DS571145	363786	363837	36	52.3255814	50	88.09020437
DS571145	369691	369741	17	24.70930233	12	21.14164905
DS571145	382950	383032	273	396.8023256	191	336.5045807
DS571145	389184	389249	25	36.3372093	4	7.04721635
DS571145	404666	404712	530	770.3488372	225	396.4059197
DS571145	404808	404865	559	812.5	257	452.7836505
DS571145	410653	410709	9	13.08139535	6	10.57082452
DS571145	415287	415341	41	59.59302326	35	61.66314306
DS571145	417321	417374	16	23.25581395	8	14.0944327
DS571145	417792	417848	10	14.53488372	7	12.33262861
DS571145	418504	418555	70	101.744186	61	107.4700493
DS571145	420868	420912	84	122.0930233	17	29.95066949
DS571145	425914	425960	10	14.53488372	8	14.0944327
DS571145	437057	437122	10	14.53488372	8	14.0944327
DS571145	437990	438037	45	65.40697674	31	54.61592671
DS571145	452425	452475	530	770.3488372	582	1025.369979
DS571145	462097	462145	8	11.62790698	22	38.75968992
DS571145	465766	465927	100	145.3488372	35	61.66314306
DS571145	480589	480637	8	11.62790698	22	38.75968992
DS571145	484211	484364	23	33.43023256	10	17.61804087
DS571145	484315	484364	14	20.34883721	11	19.37984496
DS571145	487056	487103	59	85.75581395	58	102.1846371
DS571145	490123	490185	182	264.5348837	222	391.1205074
DS571145	496222	496274	38	55.23255814	29	51.09231853
DS571145	496569	496619	21	30.52325581	24	42.2832981
DS571145	517035	517092	42	61.04651163	13	22.90345314
DS571146	7083	7129	37	53.77906977	41	72.23396758
DS571146	7261	7303	57	82.84883721	62	109.2318534
DS571146	12768	12817	107	155.5232558	56	98.66102889
DS571146	17360	17404	38	55.23255814	24	42.2832981
DS571146	28771	28828	212	308.1395349	110	193.7984496
DS571146	29234	29283	196	284.8837209	85	149.7533474
DS571146	29447	29501	156	226.744186	49	86.32840028
DS571146	34794	34856	41	59.59302326	23	40.52149401
DS571146	36655	36803	107	155.5232558	73	128.6116984
DS571146	36888	36964	146	212.2093023	85	149.7533474
DS571146	38491	38553	35	50.87209302	49	86.32840028
DS571146	46385	46447	24	34.88372093	33	58.13953488
DS571146	59147	59206	56	81.39534884	28	49.33051445
DS571146	63029	63072	125	181.6860465	140	246.6525722
DS571146	67039	67089	20	29.06976744	13	22.90345314
DS571146	69585	69649	60	87.20930233	34	59.90133897
DS571146	73148	73199	9	13.08139535	4	7.04721635
DS571146	85649	85721	470	683.1395349	235	414.0239605
DS571146	91843	91897	21	30.52325581	15	26.42706131
DS571146	92207	92262	24	34.88372093	6	10.57082452
DS571146	108722	108768	27	39.24418605	10	17.61804087
DS571146	116522	116594	43	62.5	24	42.2832981
DS571146	125008	125053	13	18.89534884	11	19.37984496
DS571146	139493	139551	27	39.24418605	17	29.95066949
DS571146	139609	139716	20	29.06976744	20	35.23608175
DS571146	139775	139959	9	13.08139535	23	40.52149401
DS571146	143243	143307	19	27.61627907	6	10.57082452
DS571146	143412	143474	12	17.44186047	6	10.57082452
DS571146	154811	154878	8	11.62790698	5	8.809020437
DS571146	155168	155225	263	382.2674419	265	466.8780832
DS571146	170620	170678	5	7.26744186	5	8.809020437
DS571146	180451	180502	124	180.2325581	32	56.3777308
DS571146	184294	184360	38	55.23255814	25	44.04510218
DS571146	185032	185119	20	29.06976744	7	12.33262861
DS571146	188686	188729	15	21.80232558	5	8.809020437
DS571146	189080	189138	24	34.88372093	7	12.33262861
DS571146	198853	198912	22	31.97674419	4	7.04721635
DS571146	201723	201914	97	140.9883721	12	21.14164905
DS571146	202298	202397	25	36.3372093	28	49.33051445
DS571146	202997	203043	20	29.06976744	25	44.04510218
DS571146	203102	203155	17	24.70930233	22	38.75968992
DS571147	4035	4084	96	139.5348837	160	281.888654
DS571147	4760	4805	150	218.0232558	68	119.8026779
DS571147	4880	4925	62	90.11627907	16	28.1888654
DS571147	7585	7635	27	39.24418605	19	33.47427766
DS571147	14371	14454	24	34.88372093	6	10.57082452
DS571147	17611	17669	31	45.05813953	21	36.99788584
DS571147	19842	19896	16	23.25581395	27	47.56871036
DS571147	21888	21936	70	101.744186	55	96.89922481
DS571147	31425	31476	22	31.97674419	35	61.66314306
DS571147	44336	44389	18	26.1627907	9	15.85623679
DS571147	49686	49757	73	106.1046512	85	149.7533474
DS571147	58796	58892	38	55.23255814	41	72.23396758
DS571147	63934	63986	37	53.77906977	46	81.04298802
DS571147	80458	80504	155	225.2906977	171	301.2684989
DS571147	80590	80638	318	462.2093023	247	435.1656096
DS571147	86741	86837	5	7.26744186	5	8.809020437
DS571147	100822	100872	13	18.89534884	20	35.23608175
DS571147	109095	109138	21	30.52325581	26	45.80690627
DS571147	109307	109365	19	27.61627907	19	33.47427766
DS571147	109953	110001	40	58.13953488	82	144.4679352
DS571147	114033	114099	15	21.80232558	5	8.809020437
DS571147	114220	114278	8	11.62790698	9	15.85623679
DS571147	120193	120386	120	174.4186047	108	190.2748414
DS571147	128913	129055	225	327.0348837	152	267.7942213
DS571147	129550	129594	44	63.95348837	44	77.51937984
DS571147	135510	135570	15	21.80232558	8	14.0944327
DS571147	135730	135782	6	8.720930233	7	12.33262861
DS571147	154195	154242	38	55.23255814	32	56.3777308
DS571147	158993	159050	14	20.34883721	9	15.85623679
DS571147	164460	164502	14	20.34883721	10	17.61804087
DS571147	166700	166759	31	45.05813953	5	8.809020437
DS571147	180276	180332	27	39.24418605	23	40.52149401
DS571148	2702	2758	13	18.89534884	7	12.33262861
DS571148	26006	26054	43	62.5	26	45.80690627
DS571148	28304	28360	47	68.31395349	53	93.37561663
DS571148	31964	32021	86	125	18	31.71247357
DS571148	32123	32177	109	158.4302326	21	36.99788584
DS571148	40883	40928	54	78.48837209	12	21.14164905
DS571148	41963	42012	58	84.30232558	44	77.51937984
DS571148	45064	45140	8	11.62790698	4	7.04721635
DS571148	55312	55360	44	63.95348837	35	61.66314306
DS571148	56835	56941	76	110.4651163	69	121.564482
DS571148	60689	60735	9	13.08139535	6	10.57082452
DS571148	67058	67146	31	45.05813953	26	45.80690627
DS571148	105139	105209	68	98.8372093	87	153.2769556
DS571148	106438	106614	34	49.41860465	8	14.0944327
DS571148	126127	126238	47	68.31395349	37	65.18675123
DS571148	127527	127571	62	90.11627907	58	102.1846371
DS571148	128019	128087	134	194.7674419	148	260.7470049
DS571148	171679	171722	331	481.1046512	189	332.9809725
DS571149	6752	6833	99	143.8953488	104	183.2276251
DS571149	28143	28233	57	82.84883721	22	38.75968992
DS571149	28308	28355	62	90.11627907	11	19.37984496
DS571149	42856	42900	30	43.60465116	19	33.47427766
DS571149	43199	43245	32	46.51162791	42	73.99577167
DS571149	43199	43341	60	87.20930233	57	100.422833
DS571149	43294	43341	6	8.720930233	13	22.90345314
DS571149	66976	67023	105	152.6162791	132	232.5581395
DS571149	72142	72190	122	177.3255814	173	304.7921071
DS571149	92453	92521	52	75.58139535	28	49.33051445
DS571149	107974	108048	15	21.80232558	18	31.71247357
DS571149	109743	109800	63	91.56976744	60	105.7082452
