scaffold_number	intron_start	intron_end	toc_rep1_reads(u)	Normalized value(Rep1)	toc_rep2_reads(u)	Normalized value(Rep2)
DS571145	71896	71953	23	32.235459	13	14.88776913
DS571145	121813	121863	45	63.06937631	50	57.26065048
DS571145	130123	130182	28	39.24316748	28	32.06596427
DS571145	131307	131353	6	8.409250175	10	11.4521301
DS571145	199365	199422	18	25.22775053	25	28.63032524
DS571145	205626	205674	6	8.409250175	6	6.871278058
DS571145	396427	396489	9	12.61387526	14	16.03298213
DS571145	417120	417174	13	18.22004205	17	19.46862116
DS571146	51081	51170	9	12.61387526	14	16.03298213
DS571146	64639	64683	26	36.44008409	27	30.92075126
DS571146	67906	67958	15	21.02312544	9	10.30691709
DS571146	136882	136926	6	8.409250175	9	10.30691709
DS571147	29946	29994	14	19.62158374	7	8.016491067
DS571147	30058	30126	17	23.82620883	8	9.161704077
DS571147	94465	94523	12	16.81850035	8	9.161704077
DS571147	117625	117690	15	21.02312544	36	41.22766835
DS571147	143134	143177	8	11.21233357	11	12.59734311
DS571148	63903	63960	17	23.82620883	9	10.30691709
DS571148	124585	124641	12	16.81850035	6	6.871278058
DS571148	124921	124998	10	14.01541696	8	9.161704077
DS571148	128325	128368	12	16.81850035	6	6.871278058
DS571148	132687	132766	16	22.42466713	11	12.59734311
DS571148	149949	150016	23	32.235459	48	54.97022446
DS571149	33571	33626	12	16.81850035	13	14.88776913
DS571149	68336	68446	27	37.84162579	24	27.48511223
DS571149	182680	182731	8	11.21233357	9	10.30691709
DS571150	54616	54680	5	7.007708479	9	10.30691709
DS571150	95849	95953	17	23.82620883	25	28.63032524
DS571150	119220	119271	14	19.62158374	14	16.03298213
DS571151	29795	29860	9	12.61387526	10	11.4521301
DS571151	94326	94387	13	18.22004205	12	13.74255612
DS571151	131024	131075	10	14.01541696	8	9.161704077
DS571151	131354	131415	11	15.41695865	15	17.17819514
DS571151	152663	152759	40	56.06166783	45	51.53458543
DS571152	72176	72227	53	74.28170988	60	68.71278058
DS571152	72510	72562	37	51.85704275	20	22.90426019
DS571152	107257	107311	16	22.42466713	19	21.75904718
DS571153	52755	52889	14	19.62158374	12	13.74255612
DS571153	53090	53160	22	30.83391731	16	18.32340815
DS571153	77935	77986	12	16.81850035	16	18.32340815
DS571153	87826	87870	11	15.41695865	7	8.016491067
DS571153	108432	108496	9	12.61387526	17	19.46862116
DS571153	130302	130355	9	12.61387526	6	6.871278058
DS571154	84089	84269	20	28.03083392	13	14.88776913
DS571154	122283	122329	9	12.61387526	12	13.74255612
DS571156	11587	11643	24	33.6370007	24	27.48511223
DS571156	21354	21395	8	11.21233357	9	10.30691709
DS571156	103842	103899	6	8.409250175	11	12.59734311
DS571156	116928	116987	6	8.409250175	6	6.871278058
DS571156	148341	148384	17	23.82620883	7	8.016491067
DS571157	25826	25884	6	8.409250175	13	14.88776913
DS571159	8007	8090	6	8.409250175	6	6.871278058
DS571159	45849	45895	10	14.01541696	7	8.016491067
DS571159	53022	53077	35	49.05395936	44	50.38937242
DS571159	53557	53637	16	22.42466713	29	33.21117728
DS571161	63913	64013	15	21.02312544	12	13.74255612
DS571161	89566	89611	10	14.01541696	9	10.30691709
DS571162	111752	111813	30	42.04625088	33	37.79202932
DS571163	55584	55639	18	25.22775053	17	19.46862116
DS571163	58164	58216	5	7.007708479	6	6.871278058
DS571163	97331	97449	8	11.21233357	11	12.59734311
DS571163	114131	114171	5	7.007708479	7	8.016491067
DS571164	15716	15782	5	7.007708479	8	9.161704077
DS571164	21616	21671	18	25.22775053	28	32.06596427
DS571164	21725	21784	15	21.02312544	21	24.0494732
DS571164	22269	22324	11	15.41695865	19	21.75904718
DS571164	41663	41713	8	11.21233357	13	14.88776913
DS571164	92777	92880	23	32.235459	24	27.48511223
DS571164	125381	125445	35	49.05395936	38	43.51809437
DS571165	81178	81225	12	16.81850035	12	13.74255612
DS571165	104514	104562	24	33.6370007	35	40.08245534
DS571165	107850	107909	6	8.409250175	7	8.016491067
DS571166	67716	67774	8	11.21233357	9	10.30691709
DS571166	95637	95692	23	32.235459	25	28.63032524
DS571166	101914	101971	10	14.01541696	7	8.016491067
DS571166	102760	102804	25	35.0385424	30	34.35639029
DS571168	76079	76125	6	8.409250175	6	6.871278058
DS571168	91611	91671	8	11.21233357	6	6.871278058
DS571169	94551	94601	5	7.007708479	6	6.871278058
DS571169	106607	106675	7	9.810791871	7	8.016491067
DS571170	48113	48158	15	21.02312544	26	29.77553825
DS571170	93320	93381	15	21.02312544	10	11.4521301
DS571170	93434	93482	18	25.22775053	13	14.88776913
DS571170	93758	93808	14	19.62158374	18	20.61383417
DS571171	4302	4348	15	21.02312544	15	17.17819514
