scaffold_number	intron_start	intron_end	orf_rep1_reads(u)	orf_rep1_reads(m)	orf_rep2_reads(u)	orf_rep2_reads(m)
DS571145	30560	30707	1	0	2	0
DS571145	96057	96106	1	0	1	0
DS571145	97375	97868	1	0	1	0
DS571145	123248	123325	3	0	1	0
DS571145	251195	251251	13	0	2	0
DS571145	279258	279307	2	0	1	0
DS571145	313305	313347	1	0	2	0
DS571145	313907	313975	1	0	1	0
DS571145	333174	333217	3	0	1	0
DS571145	346729	346791	6	0	4	0
DS571145	383245	383317	1	0	2	0
DS571145	389512	389600	1	0	1	0
DS571145	462212	462292	1	0	4	0
DS571145	490137	490185	4	0	3	0
DS571146	6449	6505	1	0	3	0
DS571146	17356	17404	2	0	1	0
DS571146	36883	36964	3	0	1	0
DS571146	51910	52095	4	0	1	0
DS571146	52904	52989	1	0	2	0
DS571146	68438	68572	13	0	2	0
DS571146	71525	71592	2	0	1	0
DS571146	125954	125998	1	0	5	0
DS571146	154811	154878	8	0	5	0
DS571146	154823	154878	5	0	3	0
DS571146	170620	170678	5	0	5	0
DS571146	198867	198912	1	0	1	0
DS571147	28891	29012	2	0	1	0
DS571147	86741	86837	5	0	5	0
DS571147	117625	117673	1	0	1	0
DS571147	180276	180328	1	0	1	0
DS571148	85903	85966	3	0	4	0
DS571148	106567	106614	1	0	2	0
DS571148	130200	130260	1	0	1	0
DS571149	43199	43253	1	0	1	0
DS571149	125962	126058	1	0	1	0
DS571149	125962	126256	2	0	1	0
DS571149	141686	141778	1	0	1	0
DS571150	51785	51917	1	0	1	0
DS571150	148287	148354	10	0	2	0
DS571151	6218	6269	1	0	1	0
DS571151	6223	6355	1	0	1	0
DS571151	51628	51695	3	0	8	0
DS571151	53261	53311	1	0	1	0
DS571151	110814	111220	1	0	1	0
DS571151	110966	111220	1	0	1	0
DS571151	141189	141572	2	0	3	0
DS571151	141595	141639	1	0	2	0
DS571151	141810	141881	3	0	1	0
DS571151	141927	142181	1	0	1	0
DS571151	142182	142301	3	0	1	0
DS571151	142193	142301	2	0	1	0
DS571151	142215	142235	4	0	2	0
DS571151	142293	142412	1	0	2	0
DS571151	142510	142533	1	0	2	0
DS571152	35396	35451	1	0	2	0
DS571152	46989	47036	3	0	3	0
DS571152	54733	54781	2	0	1	0
DS571153	41019	41090	2	0	2	0
DS571153	41145	41216	2	0	1	0
DS571153	45567	45644	1	0	1	0
DS571154	18078	18145	1	0	1	0
DS571154	36191	36242	1	0	2	0
DS571154	120086	120136	1	0	3	0
DS571155	2818	2950	2	0	1	0
DS571155	22297	22393	2	0	2	0
DS571155	115365	115414	2	0	4	0
DS571155	128620	128673	1	0	1	0
DS571156	73026	73072	6	0	5	0
DS571156	109781	109861	2	0	2	0
DS571157	95615	95673	5	0	14	0
DS571157	116279	116324	1	0	2	0
DS571157	144787	144832	1	0	1	0
DS571158	24682	24741	5	0	3	0
DS571158	38251	38311	5	0	6	0
DS571158	93689	93741	6	0	10	0
DS571159	12455	12504	2	0	3	0
DS571159	19831	19878	5	0	7	0
DS571159	78519	78650	2	0	1	0
DS571160	26852	26952	1	0	1	0
DS571160	88084	88145	1	0	1	0
DS571160	138728	138775	1	0	1	0
DS571161	24201	24256	2	0	3	0
DS571161	68462	68513	3	0	10	0
DS571161	100108	100197	3	0	3	0
DS571161	113821	113871	3	0	2	0
DS571161	114397	114462	1	0	3	0
DS571162	63479	63547	3	0	3	0
DS571162	64686	64733	2	0	1	0
DS571162	122043	122111	2	0	3	0
DS571163	33775	33808	1	0	1	0
DS571163	42149	42254	1	0	1	0
DS571163	75386	75464	1	0	1	0
DS571163	107003	107097	2	0	1	0
DS571164	15734	15782	1	0	1	0
DS571164	103788	103902	7	0	3	0
DS571165	1166	1215	1	0	1	0
DS571165	2735	2896	3	0	3	0
DS571165	2852	2917	1	0	2	0
DS571165	23119	23200	2	0	3	0
DS571165	31218	31453	2	0	1	0
DS571165	121742	121797	2	0	4	0
DS571166	31123	31174	3	0	1	0
DS571166	92936	93115	3	0	1	0
DS571166	100160	100428	3	0	2	0
DS571166	101926	101971	3	0	1	0
DS571167	16579	16643	1	0	1	0
DS571167	19220	19274	1	0	2	0
DS571167	44665	44724	9	0	12	0
DS571167	54171	54230	2	0	2	0
DS571167	57325	57344	2	0	2	0
DS571167	109006	109065	3	0	2	0
DS571168	12100	12176	1	0	5	0
DS571168	64730	64775	12	0	3	0
DS571168	65854	65927	1	0	1	0
DS571168	92585	92639	1	0	3	0
DS571168	92585	92879	1	0	2	0
DS571168	92600	92667	3	0	1	0
DS571169	50250	50327	1	0	1	0
DS571169	68312	68370	5	0	1	0
DS571169	68508	68709	2	0	2	0
DS571169	73626	73817	1	0	2	0
DS571169	74183	74224	1	0	3	0
DS571169	90869	90929	1	0	1	0
DS571169	106603	106675	2	0	1	0
DS571170	19916	19971	2	0	5	0
DS571170	32037	32097	3	0	4	0
DS571170	55708	55768	3	0	2	0
DS571170	97224	97250	1	0	1	0
DS571170	105137	105226	1	0	1	0
DS571171	48062	48118	1	0	1	0
DS571172	6367	6494	1	0	1	0
DS571172	9572	9595	1	0	1	0
DS571172	17123	17182	4	0	1	0
DS571172	80526	80594	1	0	6	0
DS571172	105981	106002	8	0	6	0
DS571173	16045	16169	1	0	1	0
DS571173	16045	16194	1	0	3	0
DS571173	44015	44156	2	0	1	0
DS571173	44389	44449	2	0	3	0
DS571173	44401	44449	1	0	1	0
DS571174	26377	26448	6	0	2	0
DS571174	48424	48501	2	0	1	0
DS571174	97030	97076	1	0	1	0
DS571175	39353	39438	2	0	1	0
DS571175	42199	42259	4	0	2	0
DS571175	48990	49098	1	0	1	0
DS571175	58606	58676	1	0	1	0
DS571176	36055	36127	1	0	1	0
DS571176	40587	40639	1	0	1	0
DS571177	23970	24024	1	0	2	0
DS571177	86267	86324	4	0	2	0
DS571178	11612	12066	67	0	101	0
DS571178	11709	11737	1	0	1	0
DS571178	67924	68086	1	0	1	0
DS571178	88453	88555	1	0	1	0
DS571179	79566	79633	1	0	2	0
DS571179	85908	85967	1	0	1	0
DS571180	52751	52819	1	0	1	0
DS571180	91656	91711	1	0	2	0
DS571181	15256	15301	1	0	2	0
DS571183	9135	9210	3	0	1	0
DS571183	31316	31399	5	0	11	0
DS571184	38951	39011	5	0	10	0
DS571185	63488	63555	5	0	3	0
DS571186	10002	10057	2	0	1	0
DS571187	18780	18872	3	0	3	0
DS571188	55827	55923	1	0	2	0
DS571189	31824	31863	2	0	1	0
DS571189	53721	53797	3	0	4	0
DS571189	57774	57916	1	0	3	0
DS571189	57862	57916	3	0	4	0
DS571190	36603	36656	1	0	2	0
DS571190	70024	70081	22	0	9	0
DS571190	74926	74971	1	0	1	0
DS571191	38609	38680	2	0	5	0
DS571191	43747	43828	1	0	5	0
DS571192	6628	6678	1	0	2	0
DS571192	72027	72099	2	0	1	0
DS571195	14688	14730	2	0	3	0
DS571195	17657	17714	1	0	1	0
DS571195	33550	33606	1	0	1	0
DS571196	58551	58603	1	0	3	0
DS571200	48833	48860	1	0	1	0
DS571200	48887	48914	2	0	1	0
DS571200	51865	51921	2	0	1	0
DS571201	24918	24962	1	0	1	0
DS571201	43980	44030	1	0	1	0
DS571202	30874	30927	2	0	1	0
DS571203	16128	16182	2	0	4	0
DS571203	16128	16211	4	0	5	0
DS571203	49268	49319	1	0	1	0
DS571203	54808	54907	1	0	2	0
DS571203	56368	56426	2	0	1	0
DS571204	21073	21123	1	0	1	0
DS571204	30169	30238	8	0	6	0
DS571204	46317	46369	1	0	1	0
DS571205	17922	17987	5	0	2	0
DS571206	19883	19991	1	0	1	0
DS571206	29456	29927	1	0	1	0
DS571206	34289	34335	2	0	1	0
