scaffold_number	gene_id	intron_start	intron_end	toc_rep1_reads(u)	Normalized value(Rep1)	toc_rep2_reads(u)	Normalized value(Rep2)	annotated	novel
DS571145	EHI_151470	71896	71953	23	32.235459	13	14.88776913	Yes	No
DS571145	EHI_151680	121813	121863	45	63.06937631	50	57.26065048	Yes	No
DS571145	EHI_151720	130123	130182	28	39.24316748	28	32.06596427	Yes	No
DS571145	NA	131307	131353	6	8.409250175	10	11.4521301	No	Yes
DS571145	NA	199365	199422	18	25.22775053	25	28.63032524	No	Yes
DS571145	EHI_152070	205626	205674	6	8.409250175	6	6.871278058	Yes	No
DS571145	EHI_153140	396427	396489	9	12.61387526	14	16.03298213	Yes	No
DS571145	EHI_153270	417120	417174	13	18.22004205	17	19.46862116	Yes	No
DS571146	NA	51081	51170	9	12.61387526	14	16.03298213	No	Yes
DS571146	EHI_148370	64639	64683	26	36.44008409	27	30.92075126	Yes	No
DS571146	EHI_148390	67906	67958	15	21.02312544	9	10.30691709	Yes	No
DS571146	EHI_148700	136882	136926	6	8.409250175	9	10.30691709	Yes	No
DS571147	NA	29946	29994	14	19.62158374	7	8.016491067	No	Yes
DS571147	NA	30058	30126	17	23.82620883	8	9.161704077	No	Yes
DS571147	NA	94465	94523	12	16.81850035	8	9.161704077	No	Yes
DS571147	EHI_045260	117625	117690	15	21.02312544	36	41.22766835	Yes	No
DS571147	EHI_045400	143134	143177	8	11.21233357	11	12.59734311	Yes	No
DS571148	NA	63903	63960	17	23.82620883	9	10.30691709	No	Yes
DS571148	EHI_012370	124585	124641	12	16.81850035	6	6.871278058	Yes	No
DS571148	EHI_012370	124921	124998	10	14.01541696	8	9.161704077	Yes	No
DS571148	NA	128325	128368	12	16.81850035	6	6.871278058	No	Yes
DS571148	NA	132687	132766	16	22.42466713	11	12.59734311	No	Yes
DS571148	EHI_012490	149949	150016	23	32.235459	48	54.97022446	Yes	No
DS571149	EHI_050400	33571	33626	12	16.81850035	13	14.88776913	Yes	No
DS571149	NA	68336	68446	27	37.84162579	24	27.48511223	No	Yes
DS571149	EHI_051090	182680	182731	8	11.21233357	9	10.30691709	Yes	No
DS571150	EHI_068050	54616	54680	5	7.007708479	9	10.30691709	Yes	No
DS571150	NA	95849	95953	17	23.82620883	25	28.63032524	No	Yes
