scaffold_number	gene_id	intron_start	intron_end	orf_rep1_reads(u)	normalize value(Rep1)	orf_rep2_reads(u)	Normalize value(Rep2)	annotated	novel
DS571145	EHI_151230	13994	14048	5	7.26744186	5	8.809020437	Yes	No
DS571145	NA	49242	49288	18	26.1627907	11	19.37984496	No	Yes
DS571145	EHI_151500	76637	76684	9	13.08139535	14	24.66525722	Yes	No
DS571145	EHI_151610	96497	96550	7	10.1744186	6	10.57082452	Yes	No
DS571145	EHI_152700	312213	312271	10	14.53488372	4	7.04721635	Yes	No
DS571145	NA	332476	332578	7	10.1744186	7	12.33262861	No	Yes
DS571145	EHI_152860	335521	335574	11	15.98837209	4	7.04721635	Yes	No
DS571145	EHI_152890	342520	342610	6	8.720930233	4	7.04721635	Yes	No
DS571145	NA	346729	346791	6	8.720930233	4	7.04721635	No	Yes
DS571145	NA	484315	484364	14	20.34883721	11	19.37984496	No	Yes
DS571146	NA	154811	154878	8	11.62790698	5	8.809020437	No	Yes
DS571146	NA	170620	170678	5	7.26744186	5	8.809020437	No	Yes
DS571147	NA	86741	86837	5	7.26744186	5	8.809020437	No	Yes
DS571148	EHI_012000	45064	45140	8	11.62790698	4	7.04721635	Yes	No
DS571149	NA	43294	43341	6	8.720930233	13	22.90345314	No	Yes
DS571151	NA	6218	6328	6	8.720930233	6	10.57082452	No	Yes
DS571152	NA	11235	11306	17	24.70930233	8	14.0944327	No	Yes
DS571152	NA	134298	134347	9	13.08139535	6	10.57082452	No	Yes
DS571152	NA	157518	157567	9	13.08139535	6	10.57082452	No	Yes
DS571156	NA	73026	73072	6	8.720930233	5	8.809020437	No	Yes
DS571156	NA	116379	116453	11	15.98837209	11	19.37984496	No	Yes
DS571156	NA	124318	124372	5	7.26744186	5	8.809020437	No	Yes
DS571157	EHI_197280	93030	93091	12	17.44186047	5	8.809020437	Yes	No
DS571157	NA	95615	95673	5	7.26744186	14	24.66525722	No	Yes
DS571158	NA	23752	23804	51	74.12790698	26	45.80690627	No	Yes
DS571158	NA	38251	38311	5	7.26744186	6	10.57082452	No	Yes
DS571158	NA	93689	93741	6	8.720930233	10	17.61804087	No	Yes
DS571159	NA	19831	19878	5	7.26744186	7	12.33262861	No	Yes
