Scaffold,Intron_S,Intron_E,strand,motif,Annotation,unique_reads,multi_reads,overhang
DS571145,9962,10052,2,2,0,37,0,65
DS571145,9971,10062,2,2,0,1,0,60
DS571145,10002,10052,2,2,0,1,0,43
DS571145,13994,14048,2,2,0,5,0,73
DS571145,23459,23515,2,2,0,28,0,75
DS571145,23807,23863,2,2,0,2,0,55
DS571145,30560,30707,2,2,0,1,0,47
DS571145,31887,32179,1,1,0,1,0,54
DS571145,32852,32900,1,1,0,1,0,48
DS571145,34069,34112,2,2,0,44,0,69
DS571145,34583,34633,1,1,0,27,0,74
DS571145,49242,49288,1,1,0,18,0,74
DS571145,68835,68886,1,1,0,89,0,75
DS571145,69498,69562,1,1,0,2,0,55
DS571145,70719,70774,2,2,0,1,0,28
DS571145,71619,71680,2,2,0,3,0,73
DS571145,71896,71953,2,2,0,5,0,66
DS571145,73101,73163,1,1,0,44,0,73
DS571145,76637,76684,1,1,0,9,0,70
DS571145,87005,87055,1,1,0,36,0,74
DS571145,89848,89937,1,1,0,1,0,19
DS571145,91900,91962,2,2,0,1,0,13
DS571145,96057,96106,1,1,0,1,0,43
DS571145,96497,96550,2,2,0,7,0,31
DS571145,97048,97154,2,2,0,1,0,24
DS571145,97375,97868,2,2,0,1,0,14
DS571145,98902,98952,1,1,0,51,0,71
DS571145,107720,107770,1,1,0,520,0,75
DS571145,108691,108953,1,1,0,1,0,35
DS571145,119994,120041,2,2,0,34,0,74
DS571145,121813,121863,2,2,0,44,0,71
DS571145,123248,123303,1,1,0,68,0,75
DS571145,123248,123325,1,1,0,3,0,37
DS571145,128135,128186,2,2,0,27,0,72
DS571145,128410,128457,2,2,0,26,0,69
DS571145,130123,130182,2,2,0,7,0,62
DS571145,136138,136198,2,2,0,3,0,60
DS571145,136548,136613,2,2,0,1,0,59
DS571145,136562,136613,2,2,0,6,0,74
DS571145,136903,137340,2,2,0,12,0,70
DS571145,147298,147361,1,1,0,4,0,56
DS571145,148161,148207,1,1,0,1,0,74
DS571145,154993,155043,1,1,0,12,0,74
DS571145,155422,155483,1,1,0,2,0,61
DS571145,155698,155763,1,1,0,6,0,62
DS571145,156173,156267,1,1,0,1,0,29
DS571145,172951,172997,2,2,0,1,0,41
DS571145,175780,175834,1,1,0,1,0,49
DS571145,179706,179755,1,1,0,4,0,51
DS571145,181638,181698,2,2,0,1,0,61
DS571145,199365,199422,1,1,0,4,0,63
DS571145,199365,199492,1,1,0,1,0,64
DS571145,204589,204651,2,2,0,2,0,42
DS571145,204608,204651,2,2,0,1,0,41
DS571145,205626,205674,2,2,0,4,0,74
DS571145,212469,212519,2,2,0,11,0,72
DS571145,220421,220471,2,2,0,26,0,69
DS571145,221256,221333,2,2,0,1,0,23
DS571145,222371,222394,2,2,0,1,0,35
DS571145,224178,224225,2,2,0,22,0,64
DS571145,227484,227544,1,1,0,19,0,60
DS571145,229142,229302,2,2,0,1,0,43
DS571145,231517,231622,2,2,0,12,0,27
DS571145,246159,246214,1,1,0,1,0,29
DS571145,251110,251215,1,1,0,1,0,18
DS571145,251110,251220,1,1,0,2,0,35
DS571145,251195,251251,2,2,0,13,0,66
DS571145,251201,251251,2,2,0,7,0,68
DS571145,251587,251649,1,1,0,1,0,62
DS571145,251635,251695,2,2,0,41,0,74
DS571145,252297,252364,1,1,0,53,0,71
DS571145,265439,265491,2,2,0,45,0,74
DS571145,279258,279307,1,1,0,2,0,55
DS571145,279258,279395,1,1,0,558,0,74
DS571145,280621,280673,1,1,0,1,0,25
DS571145,280643,280714,1,1,0,1,0,70
DS571145,284631,284735,1,1,0,1,0,53
DS571145,284674,284735,1,1,0,82,0,73
DS571145,285738,285779,1,1,0,1,0,60
DS571145,291227,291278,1,1,0,2,0,64
DS571145,293698,293748,2,2,0,5,0,68
DS571145,298372,298419,1,1,0,8,0,62
DS571145,299313,299367,1,1,0,59,0,74
DS571145,301382,301598,1,1,0,1,0,55
DS571145,312213,312271,2,2,0,10,0,42
DS571145,313305,313347,1,1,0,1,0,31
DS571145,313305,313358,1,1,0,200,0,75
DS571145,313907,313954,1,1,0,100,0,74
DS571145,313907,313975,1,1,0,1,0,51
DS571145,316968,317019,1,1,0,65,0,75
DS571145,321329,321404,1,1,0,113,0,75
DS571145,323896,323948,2,2,0,55,0,73
DS571145,324658,324701,2,2,0,54,0,72
DS571145,328049,328099,2,2,0,220,0,74
DS571145,328422,328475,1,1,0,29,0,66
DS571145,328788,328842,1,1,0,30,0,74
DS571145,329138,329195,2,2,0,1,0,29
DS571145,332476,332578,2,2,0,7,0,61
DS571145,333174,333217,2,2,0,3,0,38
DS571145,333368,333427,2,2,0,4,0,54
DS571145,333732,333778,2,2,0,3,0,61
DS571145,333951,333997,2,2,0,3,0,74
DS571145,335521,335574,1,1,0,11,0,69
DS571145,342264,342316,2,2,0,4,0,20
DS571145,342520,342610,2,2,0,6,0,72
DS571145,342700,342761,2,2,0,9,0,74
DS571145,346729,346791,1,1,0,6,0,66
DS571145,348095,348156,2,2,0,49,0,70
DS571145,348286,348345,2,2,0,58,0,75
DS571145,359932,359978,2,2,0,58,0,70
DS571145,363778,363837,2,2,0,2,0,15
DS571145,363786,363837,2,2,0,36,0,75
DS571145,369691,369741,1,1,0,17,0,74
DS571145,382950,383032,1,1,0,273,0,30
DS571145,383172,383211,1,1,0,1,0,66
DS571145,383245,383317,2,2,0,1,0,47
DS571145,389184,389249,1,1,0,25,0,73
DS571145,389512,389600,1,1,0,1,0,68
DS571145,396427,396489,1,1,0,4,0,70
DS571145,404666,404712,1,1,0,530,0,69
DS571145,404808,404865,1,1,0,559,0,75
DS571145,409904,409963,2,2,0,4,0,62
DS571145,410653,410709,2,2,0,9,0,49
DS571145,415287,415341,2,2,0,41,0,74
DS571145,417120,417174,1,1,0,13,0,75
DS571145,417321,417374,1,1,0,16,0,66
DS571145,417792,417848,1,1,0,10,0,72
DS571145,418504,418555,1,1,0,70,0,75
DS571145,420868,420912,1,1,0,84,0,38
DS571145,425736,425782,2,2,0,7,0,57
DS571145,425914,425960,2,2,0,10,0,68
DS571145,437057,437122,1,1,0,10,0,73
DS571145,437990,438037,1,1,0,45,0,70
DS571145,452425,452475,1,1,0,530,0,75
DS571145,462097,462145,2,2,0,8,0,68
DS571145,462212,462292,2,2,0,1,0,13
DS571145,465766,465927,1,1,0,100,0,73
DS571145,480589,480637,2,2,0,8,0,68
DS571145,484211,484364,1,1,0,23,0,72
DS571145,484211,484407,1,1,0,4,0,74
DS571145,484315,484364,1,1,0,14,0,74
DS571145,487056,487103,1,1,0,59,0,75
DS571145,488190,488251,2,2,0,3,0,63
DS571145,488832,489031,1,1,0,1,0,32
DS571145,490123,490185,2,2,0,182,0,75
DS571145,490137,490185,2,2,0,4,0,72
DS571145,495285,495334,2,2,0,2,0,58
DS571145,496222,496274,2,2,0,38,0,74
DS571145,496569,496619,2,2,0,21,0,75
DS571145,517035,517092,2,2,0,42,0,65
DS571146,6449,6505,2,2,0,1,0,25
DS571146,7083,7129,1,1,0,37,0,74
DS571146,7261,7303,1,1,0,57,0,75
DS571146,7489,7540,1,1,0,2,0,67
DS571146,12768,12817,2,2,0,107,0,74
DS571146,17335,17404,2,2,0,2,0,66
DS571146,17356,17404,2,2,0,2,0,72
DS571146,17360,17404,2,2,0,38,0,73
DS571146,28446,28657,1,1,0,1,0,42
DS571146,28771,28828,2,2,0,212,0,74
DS571146,29234,29283,2,2,0,196,0,74
DS571146,29428,29501,2,2,0,1,0,24
DS571146,29447,29501,2,2,0,156,0,73
DS571146,34794,34856,2,2,0,41,0,74
DS571146,36655,36803,2,2,0,107,0,74
DS571146,36707,36803,2,2,0,3,0,70
DS571146,36883,36964,2,2,0,3,0,61
DS571146,36888,36964,2,2,0,146,0,73
DS571146,38491,38553,1,1,0,35,0,16
DS571146,45236,45285,2,2,0,3,0,27
DS571146,46385,46447,1,1,0,24,0,74
DS571146,51081,51170,2,2,0,8,0,16
DS571146,51910,52095,2,2,0,4,0,71
DS571146,52904,52989,1,1,0,1,0,29
DS571146,54579,54635,1,1,0,1,0,56
DS571146,57937,58404,1,1,0,1,0,58
DS571146,59147,59206,1,1,0,56,0,72
DS571146,63029,63072,2,2,0,125,0,75
DS571146,64639,64683,2,2,0,11,0,71
DS571146,67039,67089,2,2,0,20,0,75
DS571146,67042,67089,2,2,0,1,0,21
DS571146,67902,67954,2,2,0,1,0,65
DS571146,67906,67958,2,2,0,11,0,71
DS571146,68438,68572,1,1,0,13,0,25
DS571146,69585,69649,1,1,0,60,0,71
DS571146,71525,71592,2,2,0,2,0,49
DS571146,73148,73199,1,1,0,9,0,60
DS571146,73433,73499,1,1,0,1,0,69
DS571146,80989,81108,1,1,0,1,0,27
DS571146,83521,83579,1,1,0,4,0,48
DS571146,85649,85721,1,1,0,470,0,75
DS571146,91843,91897,2,2,0,21,0,74
DS571146,92207,92262,2,2,0,24,0,74
DS571146,95513,95564,2,2,0,1,0,69
DS571146,108722,108768,2,2,0,27,0,57
DS571146,111630,111742,2,2,0,1,0,36
DS571146,116522,116594,2,2,0,43,0,75
DS571146,116522,116596,2,2,0,1,0,61
DS571146,116712,116763,2,2,0,1,0,50
DS571146,125008,125053,2,2,0,13,0,70
DS571146,125954,125998,2,2,0,1,0,69
DS571146,126836,126886,2,2,0,1,0,38
DS571146,128098,128140,1,1,0,4,0,40
DS571146,136882,136926,2,2,0,19,0,73
DS571146,139493,139551,1,1,0,27,0,57
DS571146,139609,139681,1,1,0,7,0,57
DS571146,139609,139716,1,1,0,20,0,57
DS571146,139775,139959,1,1,0,9,0,58
DS571146,143243,143307,1,1,0,19,0,74
DS571146,143412,143474,1,1,0,12,0,67
DS571146,144868,144922,2,2,0,2,0,25
DS571146,144880,144922,2,2,0,1,0,65
DS571146,154811,154878,1,1,0,8,0,71
DS571146,154823,154878,1,1,0,5,0,71
DS571146,155168,155225,1,1,0,263,0,75
DS571146,170605,170693,1,1,0,3,0,67
DS571146,170620,170678,0,0,0,5,0,73
