scaffold_number	intron_start	intron_end	ORF1Rep1SJ.out.tab	ORF1Rep2SJ.out.tab	TOC_Rep1SJ.out.tab	TOC_Rep2SJ.out.tab
DS571145	13994	14048	5	5	4	4
DS571145	76637	76684	9	14	5	3
DS571145	96497	96550	7	6	6	3
DS571145	312213	312271	10	4	4	11
DS571145	335521	335574	11	4	4	3
DS571145	342520	342610	6	4	7	3
DS571148	45064	45140	8	4	4	8
DS571157	93030	93091	12	5	8	4
DS571159	120156	120201	7	11	7	3
DS571163	102390	102483	25	7	1	8
DS571164	16435	16492	6	5	9	4
DS571167	27679	27753	6	5	4	8
DS571167	44665	44724	9	12	-	2
DS571167	47661	47722	8	6	11	1
DS571168	22289	22335	20	7	6	5
DS571168	65869	65922	23	38	3	6
DS571174	34048	34095	24	13	6	4
DS571177	81941	82025	6	10	1	3
DS571177	82084	82133	19	20	4	3
DS571183	31316	31399	5	11	1	-
DS571188	24652	24724	6	6	1	5
DS571190	70024	70081	22	9	-	13
DS571191	34143	34197	14	12	14	4
DS571195	10026	10083	5	6	3	8
DS571198	27847	27893	6	6	3	1
DS571200	62024	62072	9	5	10	2
DS571202	36139	36223	6	4	1	4
DS571203	30451	30514	9	7	3	7
DS571207	28044	28095	12	12	3	9
DS571215	15928	15976	23	20	4	3
DS571217	30542	30592	8	5	8	5
DS571222	45270	45351	11	4	1	5
DS571245	11164	11211	10	16	7	5
DS571251	34034	34091	11	7	3	5
DS571258	33865	33920	7	9	2	3
DS571260	16218	16278	6	8	2	16
DS571260	27476	27518	6	4	4	7
DS571260	42286	42338	10	10	4	2
DS571263	9171	9230	12	5	4	8
DS571265	25571	25617	9	8	1	3
DS571272	21321	21376	6	9	2	3
DS571275	22384	22427	6	5	4	2
DS571278	28816	28868	5	9	7	4
DS571280	28506	28552	13	7	11	4
DS571288	16820	16884	5	5	1	3
DS571290	26463	26510	13	11	3	4
DS571301	3166	3224	14	9	11	3
DS571304	23601	23651	9	11	3	11
DS571315	12833	12916	13	4	7	3
DS571331	14056	14115	9	5	4	1
DS571331	20042	20112	16	8	10	5
DS571345	22698	22759	11	20	3	7
DS571362	2246	2298	11	6	-	3
DS571382	9865	9941	6	5	2	-
DS571405	5444	5509	6	9	8	2
DS571408	8394	8454	9	5	5	5
DS571408	12551	12598	5	7	3	7
DS571602	3175	3235	7	13	8	5
DS571676	5525	5580	15	13	4	9
DS571676	5642	5694	11	16	4	11
DS571145	332476	332578	7	7	6	3
DS571145	484315	484364	14	11	4	3
DS571146	154811	154878	8	5	1	-
DS571149	43294	43341	6	13	2	4
DS571151	6218	6328	6	6	1	2
DS571152	11235	11306	17	8	4	2
DS571152	134298	134347	9	6	4	5
DS571152	157518	157567	9	6	3	15
DS571156	73026	73072	6	5	-	-
DS571156	116379	116453	11	11	4	6
DS571156	124318	124372	5	5	6	2
DS571158	23752	23804	51	26	1	13
DS571158	38251	38311	5	6	-	-
DS571161	92879	92964	9	4	5	1
DS571162	107799	107870	25	11	3	7
DS571163	67039	67111	23	18	10	2
DS571164	26254	26324	11	17	7	2
DS571164	69751	69818	9	21	4	9
DS571165	113828	113895	10	13	2	1
DS571166	93062	93105	8	8	4	2
DS571168	92585	92870	6	16	3	6
DS571172	19768	19829	21	23	4	4
DS571172	105981	106002	8	6	-	3
DS571179	80059	80118	5	5	2	1
DS571184	38951	39011	5	10	-	-
DS571185	25902	25954	17	7	5	5
DS571190	14674	14730	19	19	7	3
DS571191	56389	56436	5	4	3	3
DS571192	59455	59508	7	6	2	4
DS571193	47319	47372	5	5	1	6
DS571204	30169	30238	8	6	5	-
DS571206	57349	57394	17	8	9	4
DS571214	42783	42806	13	15	4	5
DS571214	44316	44339	5	12	4	4
DS571214	44436	44459	12	17	2	4
DS571214	44436	44483	12	20	2	4
DS571214	44436	44627	5	11	-	3
