scaffold_number	intron_start	intron_end	toc_rep1_reads(u)	toc_rep1_reads(m)	toc_rep2_reads(u)	toc_rep2_reads(m)
DS571145	32852	32900	1	0	2	0
DS571145	62014	62082	6	0	4	0
DS571145	131307	131353	6	0	10	0
DS571145	155422	155483	3	0	2	0
DS571145	161734	161815	3	0	1	0
DS571145	204589	204651	3	0	1	0
DS571145	205626	205674	6	0	6	0
DS571146	52040	52095	2	0	1	0
DS571146	67042	67089	3	0	1	0
DS571146	85742	85835	1	0	1	0
DS571146	111630	111742	2	0	1	0
DS571146	136882	136926	6	0	9	0
DS571146	198612	198684	1	0	1	0
DS571147	4877	4925	2	0	2	0
DS571147	21888	21959	1	0	2	0
DS571147	30644	30690	4	0	6	0
DS571147	80456	80504	1	0	1	0
DS571147	94465	94523	12	0	8	0
DS571147	110497	110546	1	0	3	0
DS571147	117625	117690	15	0	36	0
DS571147	180276	180324	1	0	1	0
DS571148	76349	76405	1	0	1	0
DS571148	108374	108439	4	0	3	0
DS571148	126127	126265	1	0	3	0
DS571148	158150	158199	2	0	4	0
DS571148	160781	160826	1	0	3	0
DS571148	167937	167992	2	0	6	0
DS571149	147067	147119	1	0	2	0
DS571149	155724	155845	1	0	3	0
DS571150	24545	24624	1	0	1	0
DS571150	54616	54680	5	0	9	0
DS571150	78705	78762	2	0	1	0
DS571150	78714	78762	1	0	1	0
DS571150	119470	119528	1	0	2	0
DS571150	128738	128802	1	0	1	0
DS571150	145873	145892	1	0	2	0
DS571151	9819	9893	1	0	1	0
DS571151	89079	89281	5	0	4	0
DS571151	94326	94387	13	0	12	0
DS571151	131024	131075	10	0	8	0
DS571151	131354	131415	11	0	15	0
DS571151	142215	142301	5	0	1	0
DS571152	12651	12710	1	0	1	0
DS571152	52820	52877	4	0	5	0
DS571152	68688	68736	2	0	2	0
DS571152	72510	72562	37	0	20	0
DS571152	102953	103017	6	0	2	0
DS571152	107257	107311	16	0	19	0
DS571153	24657	24714	3	0	4	0
DS571153	44724	44756	1	0	2	0
DS571153	52755	52889	14	0	12	0
DS571153	53090	53160	22	0	16	0
DS571153	53605	53679	1	0	5	0
DS571153	72235	72260	1	0	1	0
DS571153	87826	87870	11	0	7	0
DS571153	135650	135694	1	0	1	0
DS571154	11264	11290	1	0	1	0
DS571154	36506	36556	1	0	3	0
DS571154	102131	102188	2	0	4	0
