scaffold_number	intron_start	intron_end	orf_rep1_reads(u)	normalize value(Rep1)	orf_rep2_reads(u)	Normalize value(Rep2)
DS571145	13994	14048	5	7.26744186	5	8.809020437
DS571145	49242	49288	18	26.1627907	11	19.37984496
DS571145	76637	76684	9	13.08139535	14	24.66525722
DS571145	96497	96550	7	10.1744186	6	10.57082452
DS571145	312213	312271	10	14.53488372	4	7.04721635
DS571145	332476	332578	7	10.1744186	7	12.33262861
DS571145	335521	335574	11	15.98837209	4	7.04721635
DS571145	342520	342610	6	8.720930233	4	7.04721635
DS571145	346729	346791	6	8.720930233	4	7.04721635
DS571145	484315	484364	14	20.34883721	11	19.37984496
DS571146	154811	154878	8	11.62790698	5	8.809020437
DS571146	170620	170678	5	7.26744186	5	8.809020437
DS571147	86741	86837	5	7.26744186	5	8.809020437
DS571148	45064	45140	8	11.62790698	4	7.04721635
DS571149	43294	43341	6	8.720930233	13	22.90345314
DS571151	6218	6328	6	8.720930233	6	10.57082452
DS571152	11235	11306	17	24.70930233	8	14.0944327
DS571152	134298	134347	9	13.08139535	6	10.57082452
DS571152	157518	157567	9	13.08139535	6	10.57082452
DS571156	73026	73072	6	8.720930233	5	8.809020437
DS571156	116379	116453	11	15.98837209	11	19.37984496
DS571156	124318	124372	5	7.26744186	5	8.809020437
DS571157	93030	93091	12	17.44186047	5	8.809020437
DS571157	95615	95673	5	7.26744186	14	24.66525722
DS571158	23752	23804	51	74.12790698	26	45.80690627
DS571158	38251	38311	5	7.26744186	6	10.57082452
DS571158	93689	93741	6	8.720930233	10	17.61804087
DS571159	19831	19878	5	7.26744186	7	12.33262861
DS571159	120156	120201	7	10.1744186	11	19.37984496
DS571160	61710	61781	26	37.79069767	16	28.1888654
DS571161	92879	92964	9	13.08139535	4	7.04721635
DS571162	107799	107870	25	36.3372093	11	19.37984496
DS571163	67039	67111	23	33.43023256	18	31.71247357
DS571163	102390	102483	25	36.3372093	7	12.33262861
DS571164	16435	16492	6	8.720930233	5	8.809020437
DS571164	26254	26324	11	15.98837209	17	29.95066949
DS571164	69751	69818	9	13.08139535	21	36.99788584
DS571165	113828	113895	10	14.53488372	13	22.90345314
DS571165	120071	120115	8	11.62790698	27	47.56871036
DS571166	93062	93105	8	11.62790698	8	14.0944327
DS571166	113397	113467	17	24.70930233	22	38.75968992
DS571167	27679	27753	6	8.720930233	5	8.809020437
DS571167	44665	44724	9	13.08139535	12	21.14164905
DS571167	47661	47722	8	11.62790698	6	10.57082452
DS571168	22289	22335	20	29.06976744	7	12.33262861
DS571168	65869	65922	23	33.43023256	38	66.94855532
DS571168	92585	92870	6	8.720930233	16	28.1888654
DS571172	19768	19829	21	30.52325581	23	40.52149401
DS571172	105981	106002	8	11.62790698	6	10.57082452
DS571174	34048	34095	24	34.88372093	13	22.90345314
DS571174	35893	36009	9	13.08139535	13	22.90345314
DS571177	81941	82025	6	8.720930233	10	17.61804087
DS571177	82084	82133	19	27.61627907	20	35.23608175
DS571178	11531	11563	9	13.08139535	11	19.37984496
DS571178	11612	12066	67	97.38372093	101	177.9422128
DS571179	80059	80118	5	7.26744186	5	8.809020437
DS571183	31316	31399	5	7.26744186	11	19.37984496
DS571184	38951	39011	5	7.26744186	10	17.61804087
DS571185	25902	25954	17	24.70930233	7	12.33262861
DS571188	24652	24724	6	8.720930233	6	10.57082452
DS571190	14674	14730	19	27.61627907	19	33.47427766
DS571190	70024	70081	22	31.97674419	9	15.85623679
DS571191	34143	34197	14	20.34883721	12	21.14164905
DS571191	56389	56436	5	7.26744186	4	7.04721635
DS571192	59455	59508	7	10.1744186	6	10.57082452
DS571193	47319	47372	5	7.26744186	5	8.809020437
DS571195	10026	10083	5	7.26744186	6	10.57082452
DS571198	27847	27893	6	8.720930233	6	10.57082452
DS571200	62024	62072	9	13.08139535	5	8.809020437
DS571202	36139	36223	6	8.720930233	4	7.04721635
DS571203	30451	30514	9	13.08139535	7	12.33262861
DS571204	30169	30238	8	11.62790698	6	10.57082452
