scaffold_number	gene_id	intron_start	intron_end	strand	motif	Annotation	unique_reads	multi_reads	overhang	annotated	novel
DS571145	EHI_151210	9962	10052	2	2	0	37	0	65	Yes	No
DS571145	NA	9971	10062	2	2	0	1	0	60	No	Yes
DS571145	NA	10002	10052	2	2	0	1	0	43	No	Yes
DS571145	EHI_151230	13994	14048	2	2	0	5	0	73	Yes	No
DS571145	EHI_151250	23459	23515	2	2	0	28	0	75	Yes	No
DS571145	EHI_151250	23807	23863	2	2	0	2	0	55	Yes	No
DS571145	NA	30560	30707	2	2	0	1	0	47	No	Yes
DS571145	NA	31887	32179	1	1	0	1	0	54	No	Yes
DS571145	NA	32852	32900	1	1	0	1	0	48	No	Yes
DS571145	EHI_151300	34069	34112	2	2	0	44	0	69	Yes	No
DS571145	EHI_151310	34583	34633	1	1	0	27	0	74	Yes	No
DS571145	NA	49242	49288	1	1	0	18	0	74	No	Yes
DS571145	EHI_151460	68835	68886	1	1	0	89	0	75	Yes	No
DS571145	NA	69498	69562	1	1	0	2	0	55	No	Yes
DS571145	NA	70719	70774	2	2	0	1	0	28	No	Yes
DS571145	EHI_151470	71619	71680	2	2	0	3	0	73	Yes	No
DS571145	EHI_151470	71896	71953	2	2	0	5	0	66	Yes	No
DS571145	NA	73101	73163	1	1	0	44	0	73	No	Yes
DS571145	EHI_151500	76637	76684	1	1	0	9	0	70	Yes	No
DS571145	EHI_151550	87005	87055	1	1	0	36	0	74	Yes	No
DS571145	NA	89848	89937	1	1	0	1	0	19	No	Yes
DS571145	NA	91900	91962	2	2	0	1	0	13	No	Yes
DS571145	NA	96057	96106	1	1	0	1	0	43	No	Yes
DS571145	EHI_151610	96497	96550	2	2	0	7	0	31	Yes	No
DS571145	NA	97048	97154	2	2	0	1	0	24	No	Yes
DS571145	NA	97375	97868	2	2	0	1	0	14	No	Yes
DS571145	EHI_151620	98902	98952	1	1	0	51	0	71	Yes	No
DS571145	EHI_151630	107720	107770	1	1	0	520	0	75	Yes	No
DS571145	NA	108691	108953	1	1	0	1	0	35	No	Yes
DS571145	EHI_151680	119994	120041	2	2	0	34	0	74	Yes	No
DS571145	EHI_151680	121813	121863	2	2	0	44	0	71	Yes	No
DS571145	EHI_151690	123248	123303	1	1	0	68	0	75	Yes	No
DS571145	NA	123248	123325	1	1	0	3	0	37	No	Yes
DS571145	EHI_151710	128135	128186	2	2	0	27	0	72	Yes	No
DS571145	EHI_151710	128410	128457	2	2	0	26	0	69	Yes	No
DS571145	EHI_151720	130123	130182	2	2	0	7	0	62	Yes	No
DS571145	EHI_151760	136138	136198	2	2	0	3	0	60	Yes	No
DS571145	NA	136548	136613	2	2	0	1	0	59	No	Yes
DS571145	EHI_151760	136562	136613	2	2	0	6	0	74	Yes	No
DS571145	EHI_151760	136903	137340	2	2	0	12	0	70	Yes	No
DS571145	NA	147298	147361	1	1	0	4	0	56	No	Yes
