scaffold_number	intron_start	intron_end	orf_rep1_reads(u)	orf_rep1_reads(m)	orf_rep2_reads(u)	orf_rep2_reads(m)
DS571145	9962	10052	37	0	21	0
DS571145	13994	14048	5	0	5	0
DS571145	23459	23515	28	0	28	0
DS571145	23807	23863	2	0	3	0
DS571145	30560	30707	1	0	2	0
DS571145	34069	34112	44	0	20	0
DS571145	34583	34633	27	0	49	0
DS571145	49242	49288	18	0	11	0
DS571145	68835	68886	89	0	24	0
DS571145	69498	69562	2	0	2	0
DS571145	71619	71680	3	0	2	0
DS571145	71896	71953	5	0	1	0
DS571145	73101	73163	44	0	72	0
DS571145	76637	76684	9	0	14	0
DS571145	87005	87055	36	0	41	0
DS571145	96057	96106	1	0	1	0
DS571145	96497	96550	7	0	6	0
DS571145	97375	97868	1	0	1	0
DS571145	98902	98952	51	0	63	0
DS571145	107720	107770	520	0	648	0
DS571145	119994	120041	34	0	72	0
DS571145	121813	121863	44	0	2	0
DS571145	123248	123303	68	0	89	0
DS571145	123248	123325	3	0	1	0
DS571145	128135	128186	27	0	9	0
DS571145	128410	128457	26	0	6	0
DS571145	130123	130182	7	0	1	0
DS571145	136138	136198	3	0	5	0
DS571145	136562	136613	6	0	3	0
DS571145	136903	137340	12	0	8	0
DS571145	147298	147361	4	0	2	0
DS571145	154993	155043	12	0	16	0
DS571145	155698	155763	6	0	1	0
DS571145	179706	179755	4	0	7	0
DS571145	199365	199422	4	0	1	0
DS571145	212469	212519	11	0	15	0
DS571145	220421	220471	26	0	50	0
DS571145	224178	224225	22	0	24	0
DS571145	227484	227544	19	0	25	0
DS571145	231517	231622	12	0	18	0
DS571145	251195	251251	13	0	2	0
DS571145	251201	251251	7	0	5	0
DS571145	251635	251695	41	0	9	0
DS571145	252297	252364	53	0	45	0
DS571145	265439	265491	45	0	29	0
DS571145	279258	279307	2	0	1	0
DS571145	279258	279395	558	0	418	0
DS571145	280643	280714	1	0	5	0
DS571145	284674	284735	82	0	58	0
DS571145	293698	293748	5	0	9	0
DS571145	298372	298419	8	0	5	0
DS571145	299313	299367	59	0	46	0
DS571145	312213	312271	10	0	4	0
DS571145	313305	313347	1	0	2	0
DS571145	313305	313358	200	0	97	0
DS571145	313907	313954	100	0	160	0
DS571145	313907	313975	1	0	1	0
DS571145	316968	317019	65	0	52	0
DS571145	321329	321404	113	0	94	0
DS571145	323896	323948	55	0	45	0
DS571145	324658	324701	54	0	4	0
DS571145	328049	328099	220	0	205	0
DS571145	328422	328475	29	0	20	0
DS571145	328788	328842	30	0	25	0
DS571145	332476	332578	7	0	7	0
DS571145	333174	333217	3	0	1	0
DS571145	333368	333427	4	0	2	0
DS571145	333732	333778	3	0	3	0
DS571145	333951	333997	3	0	7	0
DS571145	335521	335574	11	0	4	0
DS571145	342264	342316	4	0	3	0
DS571145	342520	342610	6	0	4	0
DS571145	342700	342761	9	0	5	0
DS571145	346729	346791	6	0	4	0
DS571145	348095	348156	49	0	82	0
DS571145	348286	348345	58	0	43	0
DS571145	359932	359978	58	0	72	0
DS571145	363786	363837	36	0	50	0
DS571145	369691	369741	17	0	12	0
DS571145	382950	383032	273	0	191	0
DS571145	383245	383317	1	0	2	0
DS571145	389184	389249	25	0	4	0
DS571145	389512	389600	1	0	1	0
DS571145	396427	396489	4	0	6	0
DS571145	404666	404712	530	0	225	0
DS571145	404808	404865	559	0	257	0
DS571145	409904	409963	4	0	1	0
DS571145	410653	410709	9	0	6	0
DS571145	415287	415341	41	0	35	0
DS571145	417120	417174	13	0	1	0
DS571145	417321	417374	16	0	8	0
DS571145	417792	417848	10	0	7	0
DS571145	418504	418555	70	0	61	0
DS571145	420868	420912	84	0	17	0
DS571145	425736	425782	7	0	3	0
DS571145	425914	425960	10	0	8	0
DS571145	437057	437122	10	0	8	0
DS571145	437990	438037	45	0	31	0
DS571145	452425	452475	530	0	582	0
DS571145	462097	462145	8	0	22	0
DS571145	462212	462292	1	0	4	0
DS571145	465766	465927	100	0	35	0
DS571145	480589	480637	8	0	22	0
DS571145	484211	484364	23	0	10	0
DS571145	484211	484407	4	0	3	0
DS571145	484315	484364	14	0	11	0
DS571145	487056	487103	59	0	58	0
DS571145	488190	488251	3	0	6	0
DS571145	490123	490185	182	0	222	0
DS571145	490137	490185	4	0	3	0
DS571145	495285	495334	2	0	4	0
DS571145	496222	496274	38	0	29	0
DS571145	496569	496619	21	0	24	0
DS571145	517035	517092	42	0	13	0
DS571146	6449	6505	1	0	3	0
DS571146	7083	7129	37	0	41	0
DS571146	7261	7303	57	0	62	0
DS571146	7489	7540	2	0	6	0
DS571146	12768	12817	107	0	56	0
DS571146	17356	17404	2	0	1	0
DS571146	17360	17404	38	0	24	0
DS571146	28771	28828	212	0	110	0
DS571146	29234	29283	196	0	85	0
DS571146	29447	29501	156	0	49	0
DS571146	34794	34856	41	0	23	0
DS571146	36655	36803	107	0	73	0
DS571146	36883	36964	3	0	1	0
DS571146	36888	36964	146	0	85	0
DS571146	38491	38553	35	0	49	0
DS571146	45236	45285	3	0	5	0
DS571146	46385	46447	24	0	33	0
DS571146	51081	51170	8	0	2	0
DS571146	51910	52095	4	0	1	0
DS571146	52904	52989	1	0	2	0
DS571146	54579	54635	1	0	4	0
DS571146	59147	59206	56	0	28	0
DS571146	63029	63072	125	0	140	0
DS571146	64639	64683	11	0	1	0
DS571146	67039	67089	20	0	13	0
DS571146	67906	67958	11	0	1	0
DS571146	68438	68572	13	0	2	0
DS571146	69585	69649	60	0	34	0
DS571146	71525	71592	2	0	1	0
DS571146	73148	73199	9	0	4	0
DS571146	83521	83579	4	0	3	0
DS571146	85649	85721	470	0	235	0
DS571146	91843	91897	21	0	15	0
DS571146	92207	92262	24	0	6	0
DS571146	108722	108768	27	0	10	0
DS571146	116522	116594	43	0	24	0
DS571146	125008	125053	13	0	11	0
DS571146	125954	125998	1	0	5	0
DS571146	128098	128140	4	0	3	0
DS571146	139493	139551	27	0	17	0
DS571146	139609	139716	20	0	20	0
DS571146	139775	139959	9	0	23	0
DS571146	143243	143307	19	0	6	0
DS571146	143412	143474	12	0	6	0
DS571146	154811	154878	8	0	5	0
DS571146	154823	154878	5	0	3	0
DS571146	155168	155225	263	0	265	0
DS571146	170605	170693	3	0	5	0
DS571146	170620	170678	5	0	5	0
DS571146	180451	180502	124	0	32	0
DS571146	184294	184360	38	0	25	0
DS571146	185032	185119	20	0	7	0
DS571146	188686	188729	15	0	5	0
DS571146	189080	189138	24	0	7	0
DS571146	198853	198912	22	0	4	0
DS571146	198867	198912	1	0	1	0
DS571146	201723	201914	97	0	12	0
DS571146	202298	202397	25	0	28	0
DS571146	202997	203043	20	0	25	0
DS571146	203102	203155	17	0	22	0
DS571147	4035	4084	96	0	160	0
DS571147	4760	4805	150	0	68	0
DS571147	4880	4925	62	0	16	0
DS571147	7585	7635	27	0	19	0
DS571147	14371	14454	24	0	6	0
DS571147	17611	17669	31	0	21	0
DS571147	19842	19896	16	0	27	0
DS571147	21888	21936	70	0	55	0
DS571147	28891	28949	2	0	1	0
DS571147	28891	29012	2	0	1	0
DS571147	29946	29994	6	0	1	0
DS571147	30058	30126	8	0	1	0
DS571147	31425	31476	22	0	35	0
DS571147	31425	31504	2	0	3	0
DS571147	44336	44389	18	0	9	0
DS571147	49686	49757	73	0	85	0
DS571147	58796	58892	38	0	41	0
DS571147	63934	63986	37	0	46	0
DS571147	80458	80504	155	0	171	0
DS571147	80458	80638	1	0	1	0
DS571147	80590	80638	318	0	247	0
DS571147	86741	86837	5	0	5	0
DS571147	100822	100872	13	0	20	0
DS571147	109095	109138	21	0	26	0
DS571147	109307	109365	19	0	19	0
DS571147	109953	110001	40	0	82	0
DS571147	114033	114099	15	0	5	0
