scaffold_number	intron_start	intron_end	toc_rep1_reads(u)	toc_rep1_reads(m)	toc_rep2_reads(u)	toc_rep2_reads(m)
DS571145	9962	10052	27	0	31	0
DS571145	13994	14048	4	0	4	0
DS571145	23459	23515	19	0	24	0
DS571145	23807	23863	5	0	1	0
DS571145	32852	32900	1	0	2	0
DS571145	34069	34112	35	0	39	0
DS571145	34583	34633	50	0	50	0
DS571145	49242	49288	6	0	5	0
DS571145	62014	62082	6	0	4	0
DS571145	68835	68886	128	0	149	0
DS571145	69498	69562	4	0	5	0
DS571145	71619	71680	5	0	4	0
DS571145	71896	71953	23	0	13	0
DS571145	73101	73163	48	0	48	0
DS571145	76637	76684	5	0	3	0
DS571145	87005	87055	57	0	79	0
DS571145	96497	96550	6	0	3	0
DS571145	98902	98952	23	0	33	0
DS571145	107720	107770	512	0	919	0
DS571145	119994	120041	38	0	30	0
DS571145	121813	121863	45	0	50	0
DS571145	123248	123303	8	0	33	0
DS571145	128135	128186	20	0	29	0
DS571145	128410	128457	21	0	26	0
DS571145	130123	130182	28	0	28	0
DS571145	131307	131353	6	0	10	0
DS571145	136138	136198	6	0	4	0
DS571145	136562	136613	4	0	8	0
DS571145	136903	137340	14	0	14	0
DS571145	147298	147361	5	0	3	0
DS571145	154993	155043	29	0	24	0
DS571145	155422	155483	3	0	2	0
DS571145	155698	155763	4	0	3	0
DS571145	161734	161815	3	0	1	0
DS571145	179706	179755	7	0	1	0
DS571145	199365	199422	18	0	25	0
DS571145	204589	204651	3	0	1	0
DS571145	205626	205674	6	0	6	0
DS571145	212469	212519	11	0	18	0
DS571145	220421	220471	26	0	32	0
DS571145	224178	224225	15	0	34	0
DS571145	227484	227544	8	0	12	0
DS571145	231517	231622	19	0	34	0
DS571145	251201	251251	10	0	11	0
DS571145	251635	251695	39	0	21	0
DS571145	252297	252364	77	0	76	0
DS571145	265439	265491	25	0	32	0
DS571145	279258	279395	460	0	452	0
DS571145	280643	280714	3	0	2	0
DS571145	284674	284735	36	0	74	0
DS571145	293698	293748	11	0	10	0
DS571145	298372	298419	24	0	16	0
DS571145	299313	299367	27	0	48	0
DS571145	312213	312271	4	0	11	0
DS571145	313305	313358	150	0	215	0
DS571145	313907	313954	66	0	76	0
DS571145	316968	317019	62	0	54	0
DS571145	321329	321404	574	0	743	0
DS571145	323896	323948	50	0	59	0
DS571145	324658	324701	41	0	60	0
DS571145	328049	328099	182	0	258	0
DS571145	328422	328475	64	0	74	0
DS571145	328788	328842	40	0	50	0
DS571145	332476	332578	6	0	3	0
DS571145	333368	333427	4	0	1	0
DS571145	333732	333778	8	0	4	0
DS571145	333951	333997	11	0	3	0
DS571145	335521	335574	4	0	3	0
DS571145	342264	342316	10	0	3	0
DS571145	342520	342610	7	0	3	0
DS571145	342700	342761	5	0	6	0
DS571145	348095	348156	21	0	31	0
DS571145	348286	348345	22	0	23	0
DS571145	359932	359978	104	0	115	0
DS571145	363786	363837	34	0	42	0
DS571145	369691	369741	23	0	36	0
DS571145	382950	383032	271	0	355	0
DS571145	389184	389249	31	0	35	0
DS571145	396427	396489	9	0	14	0
DS571145	404666	404712	529	0	867	0
DS571145	404808	404865	532	0	892	0
DS571145	409904	409963	2	0	1	0
DS571145	410653	410709	19	0	13	0
DS571145	415287	415341	33	0	51	0
DS571145	417120	417174	13	0	17	0
DS571145	417321	417374	14	0	10	0
DS571145	417792	417848	9	0	9	0
DS571145	418504	418555	82	0	88	0
DS571145	420868	420912	106	0	115	0
DS571145	425736	425782	6	0	5	0
DS571145	425914	425960	11	0	9	0
DS571145	437057	437122	34	0	31	0
DS571145	437990	438037	29	0	33	0
DS571145	452425	452475	578	0	702	0
DS571145	462097	462145	17	0	34	0
DS571145	465766	465927	155	0	183	0
DS571145	480589	480637	17	0	35	0
DS571145	484211	484364	16	0	19	0
DS571145	484211	484407	4	0	4	0
DS571145	484315	484364	4	0	3	0
DS571145	487056	487103	72	0	81	0
DS571145	488190	488251	1	0	6	0
DS571145	490123	490185	49	0	53	0
DS571145	495285	495334	3	0	2	0
DS571145	496222	496274	53	0	51	0
DS571145	496569	496619	47	0	39	0
DS571145	517035	517092	24	0	22	0
DS571146	7083	7129	38	0	43	0
DS571146	7261	7303	41	0	46	0
DS571146	7489	7540	3	0	2	0
DS571146	12768	12817	168	0	207	0
DS571146	17360	17404	25	0	16	0
DS571146	28771	28828	155	0	184	0
DS571146	29234	29283	222	0	254	0
DS571146	29447	29501	189	0	312	0
DS571146	34794	34856	58	0	58	0
DS571146	36655	36803	144	0	146	0
DS571146	36888	36964	128	0	183	0
DS571146	38491	38553	60	0	84	0
DS571146	45236	45285	8	0	4	0
DS571146	46385	46447	42	0	56	0
DS571146	51081	51170	9	0	14	0
DS571146	52040	52095	2	0	1	0
DS571146	54579	54635	1	0	1	0
DS571146	59147	59206	89	0	103	0
DS571146	63029	63072	116	0	163	0
DS571146	64639	64683	26	0	27	0
DS571146	67039	67089	20	0	19	0
DS571146	67042	67089	3	0	1	0
DS571146	67906	67958	15	0	9	0
DS571146	69585	69649	68	0	79	0
DS571146	73148	73199	7	0	12	0
DS571146	83521	83579	1	0	1	0
DS571146	85649	85721	590	0	773	0
DS571146	85742	85835	1	0	1	0
DS571146	91843	91897	14	0	30	0
DS571146	92207	92262	20	0	21	0
DS571146	108722	108768	22	0	31	0
DS571146	111630	111742	2	0	1	0
DS571146	116522	116594	19	0	24	0
DS571146	125008	125053	14	0	15	0
DS571146	128098	128140	1	0	5	0
DS571146	136882	136926	6	0	9	0
DS571146	139493	139551	19	0	17	0
DS571146	139609	139716	20	0	19	0
DS571146	139775	139959	20	0	14	0
DS571146	143243	143307	42	0	30	0
DS571146	143412	143474	14	0	21	0
DS571146	155168	155225	71	0	115	0
DS571146	170605	170693	2	0	2	0
DS571146	180451	180502	148	0	184	0
DS571146	184294	184360	31	0	28	0
DS571146	185032	185119	21	0	15	0
DS571146	188686	188729	24	0	20	0
DS571146	189080	189138	20	0	19	0
DS571146	198612	198684	1	0	1	0
DS571146	198853	198912	10	0	20	0
DS571146	201723	201914	111	0	160	0
DS571146	202298	202397	14	0	43	0
DS571146	202997	203043	37	0	54	0
DS571146	203102	203155	29	0	36	0
DS571147	4035	4084	89	0	118	0
DS571147	4760	4805	143	0	165	0
DS571147	4877	4925	2	0	2	0
DS571147	4880	4925	40	0	52	0
DS571147	7585	7635	23	0	20	0
DS571147	14371	14454	20	0	18	0
DS571147	17611	17669	20	0	27	0
DS571147	19842	19896	22	0	22	0
DS571147	21888	21936	144	0	157	0
DS571147	21888	21959	1	0	2	0
DS571147	28891	28949	4	0	1	0
DS571147	29946	29994	14	0	7	0
DS571147	30058	30126	17	0	8	0
DS571147	30644	30690	4	0	6	0
DS571147	31425	31476	14	0	11	0
DS571147	31425	31504	2	0	1	0
DS571147	44336	44389	14	0	23	0
DS571147	49686	49757	50	0	50	0
DS571147	58796	58892	11	0	13	0
DS571147	63934	63986	47	0	75	0
DS571147	80456	80504	1	0	1	0
DS571147	80458	80504	202	0	218	0
DS571147	80458	80638	1	0	3	0
DS571147	80590	80638	355	0	385	0
DS571147	94465	94523	12	0	8	0
DS571147	100822	100872	20	0	21	0
DS571147	109095	109138	49	0	31	0
DS571147	109307	109365	42	0	31	0
DS571147	109953	110001	64	0	61	0
DS571147	110497	110546	1	0	3	0
DS571147	114033	114099	11	0	11	0
DS571147	114220	114278	7	0	14	0
DS571147	117625	117690	15	0	36	0
DS571147	120193	120386	106	0	127	0
DS571147	128913	129055	347	0	401	0
DS571147	129550	129594	86	0	124	0
DS571147	135510	135570	16	0	30	0
DS571147	135730	135782	8	0	14	0
DS571147	143134	143177	8	0	11	0
DS571147	154195	154242	43	0	85	0
DS571147	158993	159050	8	0	12	0
DS571147	164460	164502	35	0	29	0
