scaffold_number	gene_id	intron_start	intron_end	orf_rep1_reads(u)	normalize value(Rep1)	orf_rep2_reads(u)	Normalize value(Rep2)	toc_rep1_reads(u)	Normalized value(Rep1)	toc_rep2_reads(u)	Normalized value(Rep2)	annotated	novel
DS571145	EHI_151210	9962	10052	37	53.77906977	21	36.99788584	27	37.84162579	31	35.5016033	Yes	No
DS571145	EHI_151250	23459	23515	28	40.69767442	28	49.33051445	19	26.62929222	24	27.48511223	Yes	No
DS571145	EHI_151300	34069	34112	44	63.95348837	20	35.23608175	35	49.05395936	39	44.66330738	Yes	No
DS571145	EHI_151310	34583	34633	27	39.24418605	49	86.32840028	50	70.07708479	50	57.26065048	Yes	No
DS571145	EHI_151460	68835	68886	89	129.3604651	24	42.2832981	128	179.3973371	149	170.6367384	Yes	No
DS571145	NA	73101	73163	44	63.95348837	72	126.8498943	48	67.2740014	48	54.97022446	No	Yes
DS571145	EHI_151550	87005	87055	36	52.3255814	41	72.23396758	57	79.88787666	79	90.47182776	Yes	No
DS571145	EHI_151620	98902	98952	51	74.12790698	63	110.9936575	23	32.235459	33	37.79202932	Yes	No
DS571145	EHI_151630	107720	107770	520	755.8139535	648	1141.649049	512	717.5893483	919	1052.450756	Yes	No
DS571145	EHI_151680	119994	120041	34	49.41860465	72	126.8498943	38	53.25858444	30	34.35639029	Yes	No
DS571145	EHI_151690	123248	123303	68	98.8372093	89	156.8005638	8	11.21233357	33	37.79202932	Yes	No
DS571145	EHI_151710	128135	128186	27	39.24418605	9	15.85623679	20	28.03083392	29	33.21117728	Yes	No
DS571145	EHI_151710	128410	128457	26	37.79069767	6	10.57082452	21	29.43237561	26	29.77553825	Yes	No
DS571145	EHI_151760	136903	137340	12	17.44186047	8	14.0944327	14	19.62158374	14	16.03298213	Yes	No
DS571145	EHI_151820	154993	155043	12	17.44186047	16	28.1888654	29	40.64470918	24	27.48511223	Yes	No
DS571145	NA	212469	212519	11	15.98837209	15	26.42706131	11	15.41695865	18	20.61383417	No	Yes
DS571145	EHI_152150	220421	220471	26	37.79069767	50	88.09020437	26	36.44008409	32	36.64681631	Yes	No
DS571145	EHI_152180	224178	224225	22	31.97674419	24	42.2832981	15	21.02312544	34	38.93724233	Yes	No
DS571145	EHI_152200	227484	227544	19	27.61627907	25	44.04510218	8	11.21233357	12	13.74255612	Yes	No
DS571145	NA	231517	231622	12	17.44186047	18	31.71247357	19	26.62929222	34	38.93724233	No	Yes
DS571145	EHI_152370	251201	251251	7	10.1744186	5	8.809020437	10	14.01541696	11	12.59734311	Yes	No
DS571145	EHI_152370	251635	251695	41	59.59302326	9	15.85623679	39	54.66012614	21	24.0494732	Yes	No
DS571145	EHI_152380	252297	252364	53	77.03488372	45	79.28118393	77	107.9187106	76	87.03618873	Yes	No
DS571145	EHI_152430	265439	265491	45	65.40697674	29	51.09231853	25	35.0385424	32	36.64681631	Yes	No
DS571145	EHI_152510	279258	279395	558	811.0465116	418	736.4341085	460	644.7091801	452	517.6362803	Yes	No
DS571145	EHI_152560	284674	284735	82	119.1860465	58	102.1846371	36	50.45550105	74	84.74576271	Yes	No
DS571145	EHI_152620	293698	293748	5	7.26744186	9	15.85623679	11	15.41695865	10	11.4521301	Yes	No
DS571145	EHI_152630	298372	298419	8	11.62790698	5	8.809020437	24	33.6370007	16	18.32340815	Yes	No
DS571145	EHI_152630	299313	299367	59	85.75581395	46	81.04298802	27	37.84162579	48	54.97022446	Yes	No
DS571145	NA	313305	313358	200	290.6976744	97	170.8949965	150	210.2312544	215	246.2207971	No	Yes
DS571145	NA	313907	313954	100	145.3488372	160	281.888654	66	92.50175193	76	87.03618873	No	Yes
DS571145	EHI_152730	316968	317019	65	94.47674419	52	91.61381254	62	86.89558514	54	61.84150252	Yes	No
DS571145	EHI_152760	321329	321404	113	164.244186	94	165.6095842	574	804.4849334	743	850.8932661	Yes	No
DS571145	EHI_152770	323896	323948	55	79.94186047	45	79.28118393	50	70.07708479	59	67.56756757	Yes	No
DS571145	EHI_152770	324658	324701	54	78.48837209	4	7.04721635	41	57.46320953	60	68.71278058	Yes	No
DS571145	EHI_152800	328049	328099	220	319.7674419	205	361.1698379	182	255.0805886	258	295.4649565	Yes	No
DS571145	NA	328422	328475	29	42.15116279	20	35.23608175	64	89.69866854	74	84.74576271	No	Yes
DS571145	EHI_152810	328788	328842	30	43.60465116	25	44.04510218	40	56.06166783	50	57.26065048	Yes	No
DS571145	NA	342700	342761	9	13.08139535	5	8.809020437	5	7.007708479	6	6.871278058	No	Yes
DS571145	EHI_152930	348095	348156	49	71.22093023	82	144.4679352	21	29.43237561	31	35.5016033	Yes	No
DS571145	EHI_152930	348286	348345	58	84.30232558	43	75.75757576	22	30.83391731	23	26.33989922	Yes	No
DS571145	EHI_152970	359932	359978	58	84.30232558	72	126.8498943	104	145.7603364	115	131.6994961	Yes	No
DS571145	EHI_153010	363786	363837	36	52.3255814	50	88.09020437	34	47.65241766	42	48.0989464	Yes	No
DS571145	EHI_153040	369691	369741	17	24.70930233	12	21.14164905	23	32.235459	36	41.22766835	Yes	No
DS571145	EHI_153080	382950	383032	273	396.8023256	191	336.5045807	271	379.8177996	355	406.5506184	Yes	No
DS571145	EHI_153120	389184	389249	25	36.3372093	4	7.04721635	31	43.44779257	35	40.08245534	Yes	No
DS571145	EHI_153190	404666	404712	530	770.3488372	225	396.4059197	529	741.4155571	867	992.8996793	Yes	No
DS571145	EHI_153190	404808	404865	559	812.5	257	452.7836505	532	745.6201822	892	1021.530005	Yes	No
DS571145	EHI_153230	410653	410709	9	13.08139535	6	10.57082452	19	26.62929222	13	14.88776913	Yes	No
DS571145	EHI_153260	415287	415341	41	59.59302326	35	61.66314306	33	46.25087596	51	58.40586349	Yes	No
DS571145	EHI_153270	417321	417374	16	23.25581395	8	14.0944327	14	19.62158374	10	11.4521301	Yes	No
DS571145	EHI_153270	417792	417848	10	14.53488372	7	12.33262861	9	12.61387526	9	10.30691709	Yes	No
DS571145	EHI_153280	418504	418555	70	101.744186	61	107.4700493	82	114.9264191	88	100.7787448	Yes	No
DS571145	EHI_153290	420868	420912	84	122.0930233	17	29.95066949	106	148.5634198	115	131.6994961	Yes	No
DS571145	EHI_153310	425914	425960	10	14.53488372	8	14.0944327	11	15.41695865	9	10.30691709	Yes	No
DS571145	EHI_153390	437057	437122	10	14.53488372	8	14.0944327	34	47.65241766	31	35.5016033	Yes	No
DS571145	EHI_153390	437990	438037	45	65.40697674	31	54.61592671	29	40.64470918	33	37.79202932	Yes	No
DS571145	EHI_153480	452425	452475	530	770.3488372	582	1025.369979	578	810.0911002	702	803.9395328	Yes	No
DS571145	EHI_153540	462097	462145	8	11.62790698	22	38.75968992	17	23.82620883	34	38.93724233	Yes	No
DS571145	EHI_153570	465766	465927	100	145.3488372	35	61.66314306	155	217.2389629	183	209.5739808	Yes	No
DS571145	NA	480589	480637	8	11.62790698	22	38.75968992	17	23.82620883	35	40.08245534	No	Yes
DS571145	EHI_153670	484211	484364	23	33.43023256	10	17.61804087	16	22.42466713	19	21.75904718	Yes	No
DS571145	EHI_153680	487056	487103	59	85.75581395	58	102.1846371	72	100.9110021	81	92.76225378	Yes	No
DS571145	EHI_153710	490123	490185	182	264.5348837	222	391.1205074	49	68.6755431	53	60.69628951	Yes	No
DS571145	EHI_153740	496222	496274	38	55.23255814	29	51.09231853	53	74.28170988	51	58.40586349	Yes	No
DS571145	NA	496569	496619	21	30.52325581	24	42.2832981	47	65.87245971	39	44.66330738	No	Yes
DS571145	EHI_153790	517035	517092	42	61.04651163	13	22.90345314	24	33.6370007	22	25.19468621	Yes	No
DS571146	NA	7083	7129	37	53.77906977	41	72.23396758	38	53.25858444	43	49.24415941	No	Yes
DS571146	EHI_148030	7261	7303	57	82.84883721	62	109.2318534	41	57.46320953	46	52.67979844	Yes	No
DS571146	EHI_148060	12768	12817	107	155.5232558	56	98.66102889	168	235.4590049	207	237.059093	Yes	No
DS571146	EHI_148100	17360	17404	38	55.23255814	24	42.2832981	25	35.0385424	16	18.32340815	Yes	No
