scaffold_number	gene_id	rna_id	rna_type	rna_start	rna_end	intron_start	intron_end	+/-
DS571190	EHI_038570	EHI_038570A	mRNA	7573	8063	7716	7774	+
DS571175	EHI_177390	EHI_177390A	mRNA	49256	49886	49646	49697	-
DS571145	EHI_151820	EHI_151820A	mRNA	154678	155238	154993	155043	+
DS571158	EHI_103330	EHI_103330A	mRNA	29279	30442	29948	29956	+
DS571150	EHI_068050	EHI_068050A	mRNA	54194	56451	54616	54680	+
DS571154	EHI_178550	EHI_178550A	mRNA	35176	36686	35510	35588	+
DS571154	EHI_178550	EHI_178550A	mRNA	35176	36686	36191	36242	+
DS571154	EHI_178550	EHI_178550A	mRNA	35176	36686	36506	36556	+
DS571452	EHI_075200	EHI_075200A	mRNA	11437	12261	11683	11745	-
DS571284	EHI_070450	EHI_070450A	mRNA	7171	8137	7674	7959	-
DS572433	EHI_176040	EHI_176040A	mRNA	418	928	429	573	+
DS571145	EHI_151610	EHI_151610A	mRNA	96093	96752	96497	96550	-
DS571190	EHI_038940	EHI_038940A	mRNA	56007	61039	60504	60553	-
DS572469	EHI_103140	EHI_103140A	mRNA	298	1138	1032	1092	+
DS571202	EHI_015440	EHI_015440A	mRNA	62922	63743	63611	63673	+
DS571187	EHI_137860	EHI_137860A	mRNA	50105	50744	50152	50200	+
DS571187	EHI_137860	EHI_137860A	mRNA	50105	50744	50347	50421	+
DS571318	EHI_083110	EHI_083110A	mRNA	624	2275	2016	2086	+
DS571150	EHI_068590	EHI_068590A	mRNA	151445	152516	151552	151615	+
DS571286	EHI_026410	EHI_026410A	mRNA	29965	30390	30268	30319	+
DS571151	EHI_110450	EHI_110450A	mRNA	72717	73542	72738	72785	+
DS571151	EHI_110450	EHI_110450A	mRNA	72717	73542	73256	73301	+
DS571307	EHI_088110	EHI_088110A	mRNA	27802	29727	28669	28722	-
DS571307	EHI_088110	EHI_088110A	mRNA	27802	29727	29004	29055	-
DS571307	EHI_088110	EHI_088110A	mRNA	27802	29727	29384	29463	-
DS571147	EHI_045310	EHI_045310A	mRNA	128234	129303	128913	129055	-
DS571296	EHI_099310	EHI_099310A	mRNA	26937	27255	27060	27105	+
DS571170	EHI_131150	EHI_131150A	mRNA	85279	85964	85321	85364	+
DS571170	EHI_131150	EHI_131150A	mRNA	85279	85964	85524	85567	+
DS571170	EHI_131150	EHI_131150A	mRNA	85279	85964	85865	85919	+
DS571241	EHI_138320	EHI_138320A	mRNA	10125	11210	11044	11103	+
