scaffold_number	intron_start	intron_end	toc_rep1_reads(u)	Normalized value(Rep1)	toc_rep2_reads(u)	Normalized value(Rep2)
DS571145	9962	10052	27	37.84162579	31	35.5016033
DS571145	23459	23515	19	26.62929222	24	27.48511223
DS571145	34069	34112	35	49.05395936	39	44.66330738
DS571145	34583	34633	50	70.07708479	50	57.26065048
DS571145	68835	68886	128	179.3973371	149	170.6367384
DS571145	71896	71953	23	32.235459	13	14.88776913
DS571145	73101	73163	48	67.2740014	48	54.97022446
DS571145	87005	87055	57	79.88787666	79	90.47182776
DS571145	98902	98952	23	32.235459	33	37.79202932
DS571145	107720	107770	512	717.5893483	919	1052.450756
DS571145	119994	120041	38	53.25858444	30	34.35639029
DS571145	121813	121863	45	63.06937631	50	57.26065048
DS571145	123248	123303	8	11.21233357	33	37.79202932
DS571145	128135	128186	20	28.03083392	29	33.21117728
DS571145	128410	128457	21	29.43237561	26	29.77553825
DS571145	130123	130182	28	39.24316748	28	32.06596427
DS571145	131307	131353	6	8.409250175	10	11.4521301
DS571145	136903	137340	14	19.62158374	14	16.03298213
DS571145	154993	155043	29	40.64470918	24	27.48511223
DS571145	199365	199422	18	25.22775053	25	28.63032524
DS571145	205626	205674	6	8.409250175	6	6.871278058
DS571145	212469	212519	11	15.41695865	18	20.61383417
DS571145	220421	220471	26	36.44008409	32	36.64681631
DS571145	224178	224225	15	21.02312544	34	38.93724233
DS571145	227484	227544	8	11.21233357	12	13.74255612
DS571145	231517	231622	19	26.62929222	34	38.93724233
DS571145	251201	251251	10	14.01541696	11	12.59734311
DS571145	251635	251695	39	54.66012614	21	24.0494732
DS571145	252297	252364	77	107.9187106	76	87.03618873
DS571145	265439	265491	25	35.0385424	32	36.64681631
DS571145	279258	279395	460	644.7091801	452	517.6362803
DS571145	284674	284735	36	50.45550105	74	84.74576271
DS571145	293698	293748	11	15.41695865	10	11.4521301
DS571145	298372	298419	24	33.6370007	16	18.32340815
DS571145	299313	299367	27	37.84162579	48	54.97022446
DS571145	313305	313358	150	210.2312544	215	246.2207971
DS571145	313907	313954	66	92.50175193	76	87.03618873
DS571145	316968	317019	62	86.89558514	54	61.84150252
DS571145	321329	321404	574	804.4849334	743	850.8932661
DS571145	323896	323948	50	70.07708479	59	67.56756757
DS571145	324658	324701	41	57.46320953	60	68.71278058
DS571145	328049	328099	182	255.0805886	258	295.4649565
DS571145	328422	328475	64	89.69866854	74	84.74576271
DS571145	328788	328842	40	56.06166783	50	57.26065048
DS571145	342700	342761	5	7.007708479	6	6.871278058
DS571145	348095	348156	21	29.43237561	31	35.5016033
DS571145	348286	348345	22	30.83391731	23	26.33989922
DS571145	359932	359978	104	145.7603364	115	131.6994961
DS571145	363786	363837	34	47.65241766	42	48.0989464
DS571145	369691	369741	23	32.235459	36	41.22766835
DS571145	382950	383032	271	379.8177996	355	406.5506184
DS571145	389184	389249	31	43.44779257	35	40.08245534
DS571145	396427	396489	9	12.61387526	14	16.03298213
DS571145	404666	404712	529	741.4155571	867	992.8996793
DS571145	404808	404865	532	745.6201822	892	1021.530005
DS571145	410653	410709	19	26.62929222	13	14.88776913
DS571145	415287	415341	33	46.25087596	51	58.40586349
DS571145	417120	417174	13	18.22004205	17	19.46862116
DS571145	417321	417374	14	19.62158374	10	11.4521301
DS571145	417792	417848	9	12.61387526	9	10.30691709
DS571145	418504	418555	82	114.9264191	88	100.7787448
DS571145	420868	420912	106	148.5634198	115	131.6994961
DS571145	425914	425960	11	15.41695865	9	10.30691709
DS571145	437057	437122	34	47.65241766	31	35.5016033
DS571145	437990	438037	29	40.64470918	33	37.79202932
DS571145	452425	452475	578	810.0911002	702	803.9395328
DS571145	462097	462145	17	23.82620883	34	38.93724233
DS571145	465766	465927	155	217.2389629	183	209.5739808
DS571145	480589	480637	17	23.82620883	35	40.08245534
DS571145	484211	484364	16	22.42466713	19	21.75904718
DS571145	487056	487103	72	100.9110021	81	92.76225378
DS571145	490123	490185	49	68.6755431	53	60.69628951
DS571145	496222	496274	53	74.28170988	51	58.40586349
DS571145	496569	496619	47	65.87245971	39	44.66330738
DS571145	517035	517092	24	33.6370007	22	25.19468621
DS571146	7083	7129	38	53.25858444	43	49.24415941
DS571146	7261	7303	41	57.46320953	46	52.67979844
DS571146	12768	12817	168	235.4590049	207	237.059093
DS571146	17360	17404	25	35.0385424	16	18.32340815
DS571146	28771	28828	155	217.2389629	184	210.7191938
DS571146	29234	29283	222	311.1422565	254	290.8841044
DS571146	29447	29501	189	264.8913805	312	357.306459
DS571146	34794	34856	58	81.28941836	58	66.42235456
DS571146	36655	36803	144	201.8220042	146	167.2010994
DS571146	36888	36964	128	179.3973371	183	209.5739808
DS571146	38491	38553	60	84.09250175	84	96.19789281
DS571146	46385	46447	42	58.86475123	56	64.13192854
DS571146	51081	51170	9	12.61387526	14	16.03298213
DS571146	59147	59206	89	124.7372109	103	117.95694
DS571146	63029	63072	116	162.5788367	163	186.6697206
DS571146	64639	64683	26	36.44008409	27	30.92075126
DS571146	67039	67089	20	28.03083392	19	21.75904718
DS571146	67906	67958	15	21.02312544	9	10.30691709
DS571146	69585	69649	68	95.30483532	79	90.47182776
DS571146	73148	73199	7	9.810791871	12	13.74255612
DS571146	85649	85721	590	826.9096006	773	885.2496564
DS571146	91843	91897	14	19.62158374	30	34.35639029
DS571146	92207	92262	20	28.03083392	21	24.0494732
DS571146	108722	108768	22	30.83391731	31	35.5016033
DS571146	116522	116594	19	26.62929222	24	27.48511223
DS571146	125008	125053	14	19.62158374	15	17.17819514
DS571146	136882	136926	6	8.409250175	9	10.30691709
DS571146	139493	139551	19	26.62929222	17	19.46862116
DS571146	139609	139716	20	28.03083392	19	21.75904718
DS571146	139775	139959	20	28.03083392	14	16.03298213
DS571146	143243	143307	42	58.86475123	30	34.35639029
DS571146	143412	143474	14	19.62158374	21	24.0494732
DS571146	155168	155225	71	99.50946041	115	131.6994961
DS571146	180451	180502	148	207.428171	184	210.7191938
DS571146	184294	184360	31	43.44779257	28	32.06596427
DS571146	185032	185119	21	29.43237561	15	17.17819514
DS571146	188686	188729	24	33.6370007	20	22.90426019
DS571146	189080	189138	20	28.03083392	19	21.75904718
DS571146	198853	198912	10	14.01541696	20	22.90426019
DS571146	201723	201914	111	155.5711282	160	183.2340815
DS571146	202298	202397	14	19.62158374	43	49.24415941
DS571146	202997	203043	37	51.85704275	54	61.84150252
DS571146	203102	203155	29	40.64470918	36	41.22766835
DS571147	4035	4084	89	124.7372109	118	135.1351351
DS571147	4760	4805	143	200.4204625	165	188.9601466
DS571147	4880	4925	40	56.06166783	52	59.5510765
DS571147	7585	7635	23	32.235459	20	22.90426019
DS571147	14371	14454	20	28.03083392	18	20.61383417
DS571147	17611	17669	20	28.03083392	27	30.92075126
DS571147	19842	19896	22	30.83391731	22	25.19468621
DS571147	21888	21936	144	201.8220042	157	179.7984425
DS571147	29946	29994	14	19.62158374	7	8.016491067
DS571147	30058	30126	17	23.82620883	8	9.161704077
DS571147	31425	31476	14	19.62158374	11	12.59734311
DS571147	44336	44389	14	19.62158374	23	26.33989922
DS571147	49686	49757	50	70.07708479	50	57.26065048
DS571147	58796	58892	11	15.41695865	13	14.88776913
DS571147	63934	63986	47	65.87245971	75	85.89097572
DS571147	80458	80504	202	283.1114226	218	249.6564361
DS571147	80590	80638	355	497.547302	385	440.9070087
DS571147	94465	94523	12	16.81850035	8	9.161704077
DS571147	100822	100872	20	28.03083392	21	24.0494732
DS571147	109095	109138	49	68.6755431	31	35.5016033
DS571147	109307	109365	42	58.86475123	31	35.5016033
DS571147	109953	110001	64	89.69866854	61	69.85799359
DS571147	114033	114099	11	15.41695865	11	12.59734311
DS571147	114220	114278	7	9.810791871	14	16.03298213
DS571147	117625	117690	15	21.02312544	36	41.22766835
DS571147	120193	120386	106	148.5634198	127	145.4420522
DS571147	128913	129055	347	486.3349685	401	459.2304169
DS571147	129550	129594	86	120.5325858	124	142.0064132
DS571147	135510	135570	16	22.42466713	30	34.35639029
DS571147	135730	135782	8	11.21233357	14	16.03298213
DS571147	143134	143177	8	11.21233357	11	12.59734311
DS571147	154195	154242	43	60.26629292	85	97.34310582
DS571147	158993	159050	8	11.21233357	12	13.74255612
DS571147	164460	164502	35	49.05395936	29	33.21117728
DS571147	166700	166759	10	14.01541696	11	12.59734311
DS571147	180276	180332	9	12.61387526	14	16.03298213
DS571148	2702	2758	31	43.44779257	33	37.79202932
DS571148	26006	26054	32	44.84933427	27	30.92075126
DS571148	28304	28360	45	63.06937631	35	40.08245534
DS571148	31964	32021	53	74.28170988	53	60.69628951
DS571148	32123	32177	64	89.69866854	60	68.71278058
DS571148	40883	40928	111	155.5711282	143	163.7654604
DS571148	41963	42012	59	82.69096006	72	82.45533669
DS571148	55312	55360	49	68.6755431	108	123.683005
DS571148	56835	56941	82	114.9264191	98	112.2308749
DS571148	60689	60735	11	15.41695865	7	8.016491067
DS571148	63903	63960	17	23.82620883	9	10.30691709
DS571148	67058	67146	76	106.5171689	65	74.43884563
DS571148	105139	105209	45	63.06937631	51	58.40586349
DS571148	106438	106614	61	85.49404345	63	72.14841961
DS571148	124585	124641	12	16.81850035	6	6.871278058
DS571148	124921	124998	10	14.01541696	8	9.161704077
DS571148	126127	126238	72	100.9110021	102	116.811727
DS571148	127527	127571	150	210.2312544	195	223.3165369
DS571148	128019	128087	174	243.8682551	223	255.3825011
DS571148	128325	128368	12	16.81850035	6	6.871278058
DS571148	132687	132766	16	22.42466713	11	12.59734311
DS571148	149949	150016	23	32.235459	48	54.97022446
DS571148	171679	171722	709	993.6930624	913	1045.579478
DS571149	6752	6833	250	350.385424	314	359.596885
DS571149	28143	28233	49	68.6755431	23	26.33989922
DS571149	28308	28355	60	84.09250175	40	45.80852038
DS571149	33571	33626	12	16.81850035	13	14.88776913
DS571149	42856	42900	31	43.44779257	19	21.75904718
DS571149	43199	43245	27	37.84162579	19	21.75904718
DS571149	43199	43341	38	53.25858444	40	45.80852038
DS571149	66976	67023	70	98.10791871	111	127.1186441
DS571149	68336	68446	27	37.84162579	24	27.48511223
DS571149	72142	72190	129	180.7988788	127	145.4420522
DS571149	92453	92521	59	82.69096006	54	61.84150252
DS571149	107974	108048	17	23.82620883	15	17.17819514
DS571149	109743	109800	53	74.28170988	62	71.0032066
DS571149	126211	126253	22	30.83391731	16	18.32340815
DS571149	126502	126553	49	68.6755431	57	65.27714155
DS571149	134899	134956	48	67.2740014	67	76.72927164
DS571149	139266	139320	11	15.41695865	15	17.17819514
DS571149	139708	139756	29	40.64470918	46	52.67979844
DS571149	154860	154921	38	53.25858444	45	51.53458543
DS571149	155225	155277	39	54.66012614	55	62.98671553
DS571149	155578	155636	39	54.66012614	62	71.0032066
DS571149	155733	155790	42	58.86475123	58	66.42235456
DS571149	162147	162194	8	11.21233357	13	14.88776913
DS571149	162725	162778	7	9.810791871	14	16.03298213
DS571149	162849	162900	9	12.61387526	7	8.016491067
DS571149	168458	168511	46	64.47091801	80	91.61704077
DS571149	182680	182731	8	11.21233357	9	10.30691709
DS571150	12861	12917	101	141.5557113	121	138.5707742
DS571150	13002	13066	79	110.721794	100	114.521301
DS571150	13212	13267	84	117.7295025	77	88.18140174
DS571150	20635	20681	29	40.64470918	46	52.67979844
DS571150	24545	24597	45	63.06937631	66	75.58405863
DS571150	31685	31760	14	19.62158374	14	16.03298213
DS571150	50928	50976	48	67.2740014	60	68.71278058
DS571150	53210	53259	34	47.65241766	31	35.5016033
DS571150	54616	54680	5	7.007708479	9	10.30691709
DS571150	67500	67589	134	187.8065872	157	179.7984425
DS571150	68024	68078	31	43.44779257	36	41.22766835
DS571150	84207	84256	124	173.7911703	136	155.7489693
DS571150	84317	84365	395	553.6089699	536	613.8341732
DS571150	95849	95953	17	23.82620883	25	28.63032524
DS571150	96755	96832	16	22.42466713	13	14.88776913
DS571150	100381	100431	31	43.44779257	49	56.11543747
DS571150	104317	104363	14	19.62158374	12	13.74255612
DS571150	115056	115104	57	79.88787666	27	30.92075126
DS571150	119220	119271	14	19.62158374	14	16.03298213
DS571150	128738	128823	519	727.4001402	843	965.4145671
DS571150	150163	150217	335	469.5164681	465	532.5240495
DS571150	150594	150651	93	130.3433777	97	111.0856619
DS571150	156779	156824	44	61.66783462	48	54.97022446
DS571150	158902	158962	27	37.84162579	42	48.0989464
DS571151	5633	5716	18	25.22775053	23	26.33989922
DS571151	6218	6344	86	120.5325858	116	132.8447091
DS571151	29795	29860	9	12.61387526	10	11.4521301
DS571151	29925	30004	8	11.21233357	9	10.30691709
DS571151	51638	51695	389	545.1997197	606	693.9990838
DS571151	53261	53303	16	22.42466713	18	20.61383417
DS571151	53261	53325	242	339.1730904	321	367.6133761
DS571151	53746	53811	56	78.48633497	67	76.72927164
DS571151	62185	62234	18	25.22775053	21	24.0494732
DS571151	72738	72785	18	25.22775053	13	14.88776913
DS571151	73256	73301	22	30.83391731	22	25.19468621
DS571151	73913	73964	185	259.2852137	274	313.7883646
DS571151	74076	74137	149	208.8297127	158	180.9436555
DS571151	94326	94387	13	18.22004205	12	13.74255612
